X,Y,type,time,latitude,longitude,altitude (m),speed (km/h),color,opacity,width,name,desc,horizontal_accuracy,kml_folder,source,vertical_accuracy
170534.8298,708450.8531,T,16/08/2023 08:51:44,56.21311413,-5.702043267,63,0.5,#ff802f,1,4,D45_Track 1,,6.18331,Day 5,0,3.51615
170537.0078,708450.476,T,16/08/2023 08:52:39,56.2131118,-5.7020079,65.3,0,#ff802f,1,4,D45_Track 1,,4.76626,Day 5,0,3.75664
170537.4389,708448.4362,T,16/08/2023 08:52:41,56.21309372,-5.7019992,65.3,1,#ff802f,1,4,D45_Track 1,,4.6734,Day 5,0,3.15416
170539.3113,708446.0378,T,16/08/2023 08:52:55,56.21307312,-5.701967,65.5,0.2,#ff802f,1,4,D45_Track 1,,4.36291,Day 5,0,4.28589
170540.9089,708444.3078,T,16/08/2023 08:52:57,56.21305838,-5.7019398,66,1.2,#ff802f,1,4,D45_Track 1,,4.23226,Day 5,0,3.53992
170542.6977,708442.1258,T,16/08/2023 08:52:59,56.21303968,-5.701909133,66.9,1.4,#ff802f,1,4,D45_Track 1,,4.18564,Day 5,0,2.55251
170543.8228,708440.3554,T,16/08/2023 08:53:01,56.21302435,-5.7018895,68.2,1,#ff802f,1,4,D45_Track 1,,4.19113,Day 5,0,3.41792
170545.2027,708438.7754,T,16/08/2023 08:53:03,56.21301085,-5.701865933,69.3,1,#ff802f,1,4,D45_Track 1,,4.09202,Day 5,0,3.71242
170546.357,708437.0291,T,16/08/2023 08:53:09,56.21299575,-5.70184585,68.6,0.3,#ff802f,1,4,D45_Track 1,,3.92943,Day 5,0,5.19676
170547.6134,708435.0988,T,16/08/2023 08:53:16,56.21297905,-5.701823967,68.5,0.3,#ff802f,1,4,D45_Track 1,,3.81009,Day 5,0,3.75098
170548.0263,708432.625,T,16/08/2023 08:53:27,56.21295707,-5.701815183,67.5,0.2,#ff802f,1,4,D45_Track 1,,3.72773,Day 5,0,3.9259
170548.673,708430.5691,T,16/08/2023 08:53:29,56.21293895,-5.701803,67.7,1.1,#ff802f,1,4,D45_Track 1,,3.63556,Day 5,0,3.36032
170550.088,708428.6995,T,16/08/2023 08:53:38,56.21292287,-5.701778617,68.1,0.3,#ff802f,1,4,D45_Track 1,,3.93393,Day 5,0,4.7917
170550.9276,708425.4732,T,16/08/2023 08:53:47,56.21289435,-5.701762317,68.3,0.4,#ff802f,1,4,D45_Track 1,,4.13259,Day 5,0,5.82055
170552.3264,708423.5888,T,16/08/2023 08:53:50,56.21287813,-5.701738183,68.4,0.8,#ff802f,1,4,D45_Track 1,,4.06947,Day 5,0,5.30181
170553.1965,708421.0257,T,16/08/2023 08:53:54,56.21285557,-5.701721967,68.6,0.7,#ff802f,1,4,D45_Track 1,,4.01594,Day 5,0,5.5975
170555.272,708418.0308,T,16/08/2023 08:53:56,56.21282972,-5.701685983,68.8,1.8,#ff802f,1,4,D45_Track 1,,4.03434,Day 5,0,4.8155
170557.0871,708416.433,T,16/08/2023 08:54:05,56.21281627,-5.7016554,68.5,0.3,#ff802f,1,4,D45_Track 1,,3.91751,Day 5,0,5.65664
170558.7826,708415.2521,T,16/08/2023 08:54:08,56.2128065,-5.7016271,68.7,0.7,#ff802f,1,4,D45_Track 1,,3.90259,Day 5,0,5.53587
170560.578,708413.5583,T,16/08/2023 08:54:10,56.21279218,-5.70159675,69.2,1.2,#ff802f,1,4,D45_Track 1,,3.89166,Day 5,0,4.44912
170561.5911,708411.6132,T,16/08/2023 08:54:13,56.21277523,-5.701578767,69.7,0.7,#ff802f,1,4,D45_Track 1,,4.09267,Day 5,0,4.1336
170562.9311,708408.9055,T,16/08/2023 08:54:16,56.2127516,-5.701554867,70,1,#ff802f,1,4,D45_Track 1,,4.24575,Day 5,0,3.55063
170564.0445,708406.5122,T,16/08/2023 08:54:19,56.21273068,-5.701534883,70.7,0.9,#ff802f,1,4,D45_Track 1,,4.27042,Day 5,0,3.04336
170565.4583,708404.2154,T,16/08/2023 08:54:22,56.21271077,-5.70151015,71.3,0.9,#ff802f,1,4,D45_Track 1,,3.97964,Day 5,0,2.4968
170566.6733,708402.458,T,16/08/2023 08:54:31,56.2126956,-5.701489083,68.2,0.2,#ff802f,1,4,D45_Track 1,,3.7754,Day 5,0,1.88632
170566.8665,708400.3117,T,16/08/2023 08:54:35,56.21267645,-5.701484117,67.3,0.5,#ff802f,1,4,D45_Track 1,,3.78169,Day 5,0,1.71624
170566.5637,708397.6098,T,16/08/2023 08:54:39,56.21265208,-5.70148665,66.6,0.7,#ff802f,1,4,D45_Track 1,,3.70929,Day 5,0,2.75771
170568.3345,708396.2876,T,16/08/2023 08:54:44,56.21264108,-5.701457017,67.1,0.4,#ff802f,1,4,D45_Track 1,,3.66397,Day 5,0,2.83029
170571.0478,708396.058,T,16/08/2023 08:54:48,56.21264033,-5.701413167,67.2,0.7,#ff802f,1,4,D45_Track 1,,3.63619,Day 5,0,1.65073
170572.6838,708394.2133,T,16/08/2023 08:54:51,56.21262458,-5.70138525,67.3,0.8,#ff802f,1,4,D45_Track 1,,3.43802,Day 5,0,4.68348
170574.4695,708392.6661,T,16/08/2023 08:54:54,56.21261157,-5.701355183,68.3,0.8,#ff802f,1,4,D45_Track 1,,3.43783,Day 5,0,3.8931
170576.3245,708391.1755,T,16/08/2023 08:54:58,56.2125991,-5.70132405,69.2,0.6,#ff802f,1,4,D45_Track 1,,3.53523,Day 5,0,1.96311
170578.2786,708389.9851,T,16/08/2023 08:55:01,56.21258937,-5.701291583,70.7,0.8,#ff802f,1,4,D45_Track 1,,3.59603,Day 5,0,1.4998
170579.7036,708387.7614,T,16/08/2023 08:55:05,56.21257012,-5.701266733,70.1,0.7,#ff802f,1,4,D45_Track 1,,3.50057,Day 5,0,1.18573
