X,Y,type,time,latitude,longitude,altitude (m),field_11
170632.4802,708018.7669,T,18/08/2023 10:02,56.20928733,-5.7000985,66.5,0.252972
170634.2967,708019.9095,T,18/08/2023 10:03,56.20929845,-5.700070267,64.6,0.101871
170636.2903,708020.5697,T,18/08/2023 10:03,56.20930533,-5.700038767,65,0.261625
170638.3855,708020.9222,T,18/08/2023 10:03,56.2093095,-5.700005367,61.9,0.352809
170635.904,708020.9574,T,18/08/2023 10:03,56.20930862,-5.700045317,63.1,0.309069
170633.8808,708021.1142,T,18/08/2023 10:03,56.20930905,-5.700078,68.8,0.155522
170634.9853,708018.6288,T,18/08/2023 10:03,56.2092873,-5.700058083,66.2,0.180938
170636.9388,708017.7743,T,18/08/2023 10:04,56.20928058,-5.700025917,65.3,1.06242
170639.0079,708017.1778,T,18/08/2023 10:04,56.20927623,-5.699992117,64.4,0.715168
170641.2254,708016.5679,T,18/08/2023 10:04,56.20927183,-5.699955917,62.7,0.254614
170641.2103,708013.9553,T,18/08/2023 10:04,56.2092484,-5.6999539,63.8,0.652163
170641.2542,708011.8036,T,18/08/2023 10:04,56.20922913,-5.699951333,64.1,0.537057
170640.4849,708009.7693,T,18/08/2023 10:04,56.20921052,-5.69996195,63,0.434341
170640.1498,708007.6603,T,18/08/2023 10:04,56.20919145,-5.699965517,61.7,0.71052
170640.4016,708005.291,T,18/08/2023 10:04,56.20917033,-5.699959417,61.5,0.396363
170639.136,708003.3726,T,18/08/2023 10:04,56.20915252,-5.699978117,60.1,0.382326
170638.294,708001.1045,T,18/08/2023 10:04,56.20913178,-5.6999897,58.8,0.804723
170639.4137,707999.0746,T,18/08/2023 10:04,56.20911412,-5.699969933,54.5,0.578433
170638.4329,707996.2664,T,18/08/2023 10:04,56.20908847,-5.699983283,57.4,0.593848
170637.8073,707993.9577,T,18/08/2023 10:04,56.20906747,-5.69999135,58.3,0.795929
170636.9964,707991.0154,T,18/08/2023 10:04,56.2090407,-5.70000185,60.5,1.52316
170636.2422,707988.6858,T,18/08/2023 10:05,56.20901945,-5.700011967,60.7,1.22216
170634.7256,707986.2209,T,18/08/2023 10:05,56.20899662,-5.700034233,60.5,0.722084
170633.5657,707984.4964,T,18/08/2023 10:05,56.2089806,-5.7000514,58.8,0.414677
170633.2041,707982.2595,T,18/08/2023 10:05,56.20896037,-5.700055283,57.2,0.754208
170632.6654,707979.8524,T,18/08/2023 10:05,56.20893853,-5.700061867,59.5,0.615414
170633.8458,707978.1047,T,18/08/2023 10:05,56.20892343,-5.700041367,61,0.701304
170634.4552,707975.5456,T,18/08/2023 10:05,56.20890078,-5.70002935,60.1,1.31296
170635.1655,707973.3983,T,18/08/2023 10:05,56.20888187,-5.700016067,58.9,1.12908
170635.2435,707971.3596,T,18/08/2023 10:05,56.20886363,-5.70001305,58.4,1.01801
170634.9596,707969.143,T,18/08/2023 10:05,56.20884362,-5.7000157,58.5,1.11589
170634.3783,707967.1777,T,18/08/2023 10:05,56.20882572,-5.70002335,60,1.02292
170632.5619,707966.2492,T,18/08/2023 10:05,56.20881652,-5.700051767,60.9,0.677813
170633.4453,707964.2755,T,18/08/2023 10:05,56.20879925,-5.70003585,62,0.431518
170631.0356,707962.1988,T,18/08/2023 10:05,56.20877947,-5.700072817,63.7,0.264385
170629.0019,707961.1214,T,18/08/2023 10:05,56.20876883,-5.7001046,63.9,0.573449
170626.7904,707958.7218,T,18/08/2023 10:05,56.20874625,-5.7001381,63.8,1.62773
170625.274,707957.3979,T,18/08/2023 10:05,56.20873365,-5.70016135,62.2,0.501895
170625.9546,707954.8718,T,18/08/2023 10:06,56.20871133,-5.700148217,60.3,0.290115
170627.1166,707952.4547,T,18/08/2023 10:06,56.20869022,-5.700127433,58.6,0.535366
170628.1119,707950.4248,T,18/08/2023 10:06,56.2086725,-5.700109667,59.4,0.563924
170628.3408,707948.0724,T,18/08/2023 10:06,56.20865152,-5.70010395,60,0.786624
170628.1585,707946.0689,T,18/08/2023 10:06,56.20863347,-5.70010515,60.5,1.00422
170627.7597,707943.6432,T,18/08/2023 10:06,56.20861153,-5.700109467,62.3,1.22672
170627.3075,707941.4167,T,18/08/2023 10:06,56.20859135,-5.700114817,62.2,0.756181
170625.9459,707939.6975,T,18/08/2023 10:06,56.20857528,-5.700135233,60.9,0.54692
170624.7296,707936.8462,T,18/08/2023 10:06,56.20854913,-5.700152333,61.1,0.773521
170625.4995,707934.1881,T,18/08/2023 10:06,56.20852567,-5.70013765,59.9,0.920955
170625.4487,707931.7035,T,18/08/2023 10:06,56.20850337,-5.700136317,58.2,0.827006
170625.6069,707929.6739,T,18/08/2023 10:06,56.20848525,-5.700132017,57.4,0.29028
170625.1726,707927.2792,T,18/08/2023 10:06,56.20846357,-5.700136933,58.8,0.486035
170623.9377,707925.5844,T,18/08/2023 10:06,56.20844778,-5.700155333,58.9,1.04582
170622.5561,707923.226,T,18/08/2023 10:06,56.20842597,-5.700175517,58.9,0.909397
170620.9639,707921.4946,T,18/08/2023 10:07,56.20840968,-5.700199633,59.2,0.586452
170619.1023,707920.4983,T,18/08/2023 10:07,56.20839985,-5.700228717,57.5,0.191354
170619.5529,707918.279,T,18/08/2023 10:07,56.20838017,-5.70021955,57.2,0.753638
170620.736,707915.7147,T,18/08/2023 10:07,56.20835775,-5.7001983,56.8,0.70446
170621.0576,707913.7176,T,18/08/2023 10:07,56.20834,-5.7001914,57.7,0.403862
170623.0077,707912.9324,T,18/08/2023 10:07,56.2083339,-5.70015935,61.4,0.161149
170623.6341,707910.9769,T,18/08/2023 10:07,56.20831667,-5.700147583,61,0.512445
170623.0473,707908.7342,T,18/08/2023 10:07,56.20829628,-5.700155083,61.5,0.771165
170622.2671,707906.1706,T,18/08/2023 10:07,56.20827292,-5.700165417,61.8,0.334461
170621.9728,707903.9925,T,18/08/2023 10:07,56.20825325,-5.700168267,61.7,1.09696
170621.1074,707901.9254,T,18/08/2023 10:07,56.2082343,-5.7001804,61.9,1.11838
170620.5716,707899.3977,T,18/08/2023 10:08,56.20821138,-5.700186833,62,0.859697
170619.4073,707897.243,T,18/08/2023 10:08,56.2081915,-5.7002037,62.5,1.22232
170618.1081,707895.3944,T,18/08/2023 10:08,56.2081743,-5.700223,62.8,1.12722
170616.468,707893.1793,T,18/08/2023 10:08,56.20815365,-5.700247467,62.7,0.916633
170614.3974,707892.1663,T,18/08/2023 10:08,56.20814357,-5.7002799,62.9,1.14896
170611.9686,707891.8742,T,18/08/2023 10:08,56.20813978,-5.700318717,63.8,0.812388
170610.9525,707889.7783,T,18/08/2023 10:08,56.2081205,-5.70033325,64.1,1.16248
170609.8471,707887.8725,T,18/08/2023 10:08,56.20810288,-5.700349383,63.9,0.549587
170608.9353,707885.3662,T,18/08/2023 10:08,56.20807997,-5.700361883,62.7,0.177526
