X,Y,type,time,latitude,longitude,altitude (m)
170534.8298,708450.8531,T,16/08/2023 08:51,56.21311413,-5.702043267,63
170537.0078,708450.476,T,16/08/2023 08:52,56.2131118,-5.7020079,65.3
170537.4389,708448.4362,T,16/08/2023 08:52,56.21309372,-5.7019992,65.3
170539.3113,708446.0378,T,16/08/2023 08:52,56.21307312,-5.701967,65.5
170540.9089,708444.3078,T,16/08/2023 08:52,56.21305838,-5.7019398,66
170542.6977,708442.1258,T,16/08/2023 08:52,56.21303968,-5.701909133,66.9
170543.8228,708440.3554,T,16/08/2023 08:53,56.21302435,-5.7018895,68.2
170545.2027,708438.7754,T,16/08/2023 08:53,56.21301085,-5.701865933,69.3
170546.357,708437.0291,T,16/08/2023 08:53,56.21299575,-5.70184585,68.6
170547.6134,708435.0988,T,16/08/2023 08:53,56.21297905,-5.701823967,68.5
170548.0263,708432.625,T,16/08/2023 08:53,56.21295707,-5.701815183,67.5
170548.673,708430.5691,T,16/08/2023 08:53,56.21293895,-5.701803,67.7
170550.088,708428.6995,T,16/08/2023 08:53,56.21292287,-5.701778617,68.1
170550.9276,708425.4732,T,16/08/2023 08:53,56.21289435,-5.701762317,68.3
170552.3264,708423.5888,T,16/08/2023 08:53,56.21287813,-5.701738183,68.4
170553.1965,708421.0257,T,16/08/2023 08:53,56.21285557,-5.701721967,68.6
170555.272,708418.0308,T,16/08/2023 08:53,56.21282972,-5.701685983,68.8
170557.0871,708416.433,T,16/08/2023 08:54,56.21281627,-5.7016554,68.5
170558.7826,708415.2521,T,16/08/2023 08:54,56.2128065,-5.7016271,68.7
170560.578,708413.5583,T,16/08/2023 08:54,56.21279218,-5.70159675,69.2
170561.5911,708411.6132,T,16/08/2023 08:54,56.21277523,-5.701578767,69.7
170562.9311,708408.9055,T,16/08/2023 08:54,56.2127516,-5.701554867,70
170564.0445,708406.5122,T,16/08/2023 08:54,56.21273068,-5.701534883,70.7
170565.4583,708404.2154,T,16/08/2023 08:54,56.21271077,-5.70151015,71.3
170566.6733,708402.458,T,16/08/2023 08:54,56.2126956,-5.701489083,68.2
170566.8665,708400.3117,T,16/08/2023 08:54,56.21267645,-5.701484117,67.3
170566.5637,708397.6098,T,16/08/2023 08:54,56.21265208,-5.70148665,66.6
170568.3345,708396.2876,T,16/08/2023 08:54,56.21264108,-5.701457017,67.1
170571.0478,708396.058,T,16/08/2023 08:54,56.21264033,-5.701413167,67.2
170572.6838,708394.2133,T,16/08/2023 08:54,56.21262458,-5.70138525,67.3
170574.4695,708392.6661,T,16/08/2023 08:54,56.21261157,-5.701355183,68.3
170576.3245,708391.1755,T,16/08/2023 08:54,56.2125991,-5.70132405,69.2
170578.2786,708389.9851,T,16/08/2023 08:55,56.21258937,-5.701291583,70.7
170579.7036,708387.7614,T,16/08/2023 08:55,56.21257012,-5.701266733,70.1
170581.1407,708386.224,T,16/08/2023 08:55,56.21255703,-5.701242283,69.9
170583.1067,708385.3732,T,16/08/2023 08:55,56.21255035,-5.701209917,68.5
170585.1873,708384.9959,T,16/08/2023 08:55,56.21254797,-5.701176117,70.4
170587.2866,708384.7134,T,16/08/2023 08:55,56.21254645,-5.7011421,72.5
170589.4374,708383.3485,T,16/08/2023 08:55,56.21253525,-5.701106317,70
170591.2749,708382.3998,T,16/08/2023 08:55,56.21252763,-5.701075933,69.4
170592.981,708380.9138,T,16/08/2023 08:55,56.21251513,-5.7010472,67.7
170594.4936,708379.5464,T,16/08/2023 08:55,56.2125036,-5.701021683,68.3
170595.2573,708377.3359,T,16/08/2023 08:56,56.21248415,-5.701007483,69.9
170596.1249,708375.2057,T,16/08/2023 08:56,56.21246547,-5.700991683,70.8
170595.8343,708373.0385,T,16/08/2023 08:56,56.2124459,-5.700994483,71.5
170596.6067,708370.9313,T,16/08/2023 08:56,56.21242738,-5.700980233,71.1
170599.1995,708370.0412,T,16/08/2023 08:56,56.21242065,-5.70093775,72.2
170601.2018,708369.8253,T,16/08/2023 08:56,56.21241968,-5.70090535,73.6
170604.0499,708369.5595,T,16/08/2023 08:56,56.21241867,-5.7008593,73
170605.6561,708370.7625,T,16/08/2023 08:56,56.21243023,-5.7008345,73
170607.8016,708370.4542,T,16/08/2023 08:56,56.2124285,-5.700799717,72.8
170609.5549,708368.9211,T,16/08/2023 08:56,56.2124156,-5.700770183,72.6
170611.0603,708367.5764,T,16/08/2023 08:56,56.21240427,-5.7007448,75.6
170611.639,708369.6288,T,16/08/2023 08:57,56.21242295,-5.700737267,75
170612.9421,708371.3021,T,16/08/2023 08:57,56.21243858,-5.70071775,73.4
170614.8103,708372.3694,T,16/08/2023 08:57,56.21244905,-5.700688617,73.8
170616.5857,708370.9187,T,16/08/2023 08:57,56.2124369,-5.7006588,75.3
170616.5743,708368.7221,T,16/08/2023 08:57,56.2124172,-5.700657083,77.1
170617.7669,708366.7417,T,16/08/2023 08:57,56.21240002,-5.700636183,79
170619.2532,708365.388,T,16/08/2023 08:57,56.2123886,-5.7006111,77.4
170621.0953,708366.3731,T,16/08/2023 08:57,56.21239832,-5.700582317,74
170622.102,708368.3913,T,16/08/2023 08:57,56.2124169,-5.700567867,76.7
170622.5138,708370.4248,T,16/08/2023 08:58,56.21243533,-5.700563,79.3
170624.5803,708371.5763,T,16/08/2023 08:58,56.21244665,-5.70053075,80.4
170623.2251,708373.1907,T,16/08/2023 08:58,56.21246047,-5.70055395,79.6
170622.9149,708375.553,T,16/08/2023 08:58,56.2124815,-5.700560983,78.8
170623.2996,708377.5824,T,16/08/2023 08:58,56.21249988,-5.70055655,78.7
170623.315,708379.7566,T,16/08/2023 08:58,56.21251938,-5.700558183,79.7
170625.5171,708379.5958,T,16/08/2023 08:58,56.212519,-5.700522617,86.9
170627.1924,708381.0616,T,16/08/2023 08:59,56.21253295,-5.700496933,84.2
170628.6482,708383.1673,T,16/08/2023 08:59,56.21255253,-5.700475333,84.4
170629.2049,708385.3335,T,16/08/2023 08:59,56.21257222,-5.70046825,82.7
170630.0082,708387.404,T,16/08/2023 08:59,56.21259117,-5.700457117,82.9
170631.672,708389.6958,T,16/08/2023 08:59,56.21261252,-5.700432333,83.8
170633.6998,708390.6107,T,16/08/2023 08:59,56.2126217,-5.7004005,85.5
170636.165,708390.1971,T,16/08/2023 08:59,56.21261918,-5.700360483,89.3
170637.7767,708391.5236,T,16/08/2023 08:59,56.21263185,-5.7003357,89.7
170639.2402,708393.3467,T,16/08/2023 09:00,56.2126489,-5.700313733,88.9
170639.9335,708395.4141,T,16/08/2023 09:00,56.21266777,-5.700304367,90.2
170641.7208,708396.5349,T,16/08/2023 09:00,56.21267868,-5.700276583,91.9
170643.6086,708397.967,T,16/08/2023 09:00,56.21269243,-5.70024745,94.3
170645.3313,708399.1035,T,16/08/2023 09:00,56.21270345,-5.700220717,96.7
170647.4191,708399.6293,T,16/08/2023 09:00,56.21270917,-5.700187583,98.7
170649.4429,708400.2377,T,16/08/2023 09:00,56.2127156,-5.70015555,100.8
170651.6935,708400.1111,T,16/08/2023 09:00,56.21271555,-5.700119233,101.5
170653.9532,708400.2316,T,16/08/2023 09:00,56.21271772,-5.700082983,102.2
170652.3077,708401.7656,T,16/08/2023 09:00,56.21273068,-5.700110783,101.7
170651.4975,708403.9228,T,16/08/2023 09:00,56.21274963,-5.700125683,100.5
170653.1844,708405.6636,T,16/08/2023 09:01,56.21276605,-5.70010005,101.6
170654.5076,708407.9994,T,16/08/2023 09:01,56.21278763,-5.700080783,102.3
170658.8938,708409.5036,T,16/08/2023 09:01,56.21280323,-5.700011517,107.6
170659.1449,708411.7454,T,16/08/2023 09:01,56.21282345,-5.700009417,108
