X,Y,type,time,latitude,longitude,altitude (m)
170083.0932,708939.5171,T,24/08/2023 09:48,56.21727713,-5.709734683,62.2
170080.9929,708940.1211,T,24/08/2023 09:48,56.21728153,-5.709769,62.5
170079.2441,708941.1345,T,24/08/2023 09:48,56.21728977,-5.709798017,62.9
170074.8847,708946.0241,T,24/08/2023 09:48,56.2173315,-5.7098724,63.4
170072.2452,708946.482,T,24/08/2023 09:48,56.21733433,-5.709915267,63.7
170070.2716,708947.2264,T,24/08/2023 09:48,56.21734005,-5.709947667,63.9
170067.7043,708948.0809,T,24/08/2023 09:48,56.21734647,-5.709989717,63.5
170064.8807,708947.9108,T,24/08/2023 09:48,56.21734358,-5.710035,64.2
170062.7092,708949.3441,T,24/08/2023 09:48,56.21735538,-5.710071183,63.6
170060.7226,708950.039,T,24/08/2023 09:48,56.21736065,-5.71010375,63.8
170058.4162,708951.2765,T,24/08/2023 09:48,56.21737063,-5.710141933,63.6
170055.6814,708951.6381,T,24/08/2023 09:48,56.21737255,-5.71018625,63.6
170053.43,708952.0908,T,24/08/2023 09:49,56.21737552,-5.710222867,61.6
170050.5836,708952.2643,T,24/08/2023 09:49,56.2173757,-5.710268817,60.5
170048.3511,708952.8364,T,24/08/2023 09:49,56.21737975,-5.710305233,60.8
170046.7945,708954.2064,T,24/08/2023 09:49,56.21739128,-5.710331467,61
170044.9918,708955.1792,T,24/08/2023 09:49,56.21739913,-5.710361317,61.2
170042.9815,708956.1063,T,24/08/2023 09:49,56.21740647,-5.710394467,61.9
170041.1162,708956.9943,T,24/08/2023 09:49,56.21741353,-5.71042525,62.2
170038.8869,708956.935,T,24/08/2023 09:49,56.21741192,-5.710461067,62.5
170036.4091,708957.3932,T,24/08/2023 09:49,56.21741483,-5.710501333,63.4
170034.2409,708957.9863,T,24/08/2023 09:49,56.2174191,-5.710536733,63.2
170033.4745,708960.2361,T,24/08/2023 09:49,56.2174389,-5.710551017,63.9
170031.841,708962.2728,T,24/08/2023 09:49,56.21745637,-5.710579067,64.4
170030.0143,708964.185,T,24/08/2023 09:49,56.21747263,-5.710610117,64.6
170027.4975,708965.5911,T,24/08/2023 09:49,56.21748402,-5.710651833,65.6
170025.502,708966.2174,T,24/08/2023 09:49,56.21748867,-5.710684483,65.9
170023.7717,708967.8611,T,24/08/2023 09:49,56.21750257,-5.71071375,66.5
170022.4074,708969.8197,T,24/08/2023 09:49,56.21751947,-5.7107374,66.6
170021.4052,708972.2305,T,24/08/2023 09:49,56.2175406,-5.710755617,66.5
170018.4443,708972.4884,T,24/08/2023 09:49,56.21754148,-5.710803483,66
170015.6407,708973.4393,T,24/08/2023 09:49,56.21754865,-5.710849417,65.9
170013.4068,708972.9653,T,24/08/2023 09:50,56.21754332,-5.71088495,64.8
170011.4589,708974.0697,T,24/08/2023 09:50,56.21755228,-5.71091725,63.6
170009.4532,708975.3903,T,24/08/2023 09:50,56.21756315,-5.710950667,63
170007.3124,708977.0082,T,24/08/2023 09:50,56.21757662,-5.710986517,63.7
170005.6678,708979.3589,T,24/08/2023 09:50,56.2175969,-5.711015017,65.1
170004.4487,708981.5495,T,24/08/2023 09:50,56.21761595,-5.711036533,65.7
170002.2467,708982.6855,T,24/08/2023 09:50,56.21762507,-5.71107295,66.1
170000.042,708982.5233,T,24/08/2023 09:50,56.21762255,-5.711108283,66
169999.7931,708984.8233,T,24/08/2023 09:50,56.21764305,-5.711114283,64.5
169999.2324,708987.603,T,24/08/2023 09:50,56.2176677,-5.711125717,64.5
169998.8195,708989.7244,T,24/08/2023 09:50,56.21768652,-5.7111342,65
169998.459,708991.7025,T,24/08/2023 09:50,56.21770408,-5.711141717,65.3
169995.7558,708993.0328,T,24/08/2023 09:50,56.2177147,-5.711186367,65.4
169993.8289,708994.3157,T,24/08/2023 09:50,56.21772527,-5.711218483,65.5
169991.2611,708994.394,T,24/08/2023 09:50,56.21772473,-5.711259867,66.1
169988.9388,708994.5081,T,24/08/2023 09:50,56.21772463,-5.711297333,65.6
169986.8979,708995.2339,T,24/08/2023 09:50,56.21773015,-5.7113308,64.5
169985.4564,708997.2189,T,24/08/2023 09:50,56.21774725,-5.711355717,64.3
169985.2033,708999.363,T,24/08/2023 09:50,56.21776635,-5.71136165,63.9
169985.8259,709001.3226,T,24/08/2023 09:50,56.21778422,-5.711353333,63.5
169984.8309,709003.6751,T,24/08/2023 09:50,56.21780483,-5.711371383,63.5
169984.2593,709005.6378,T,24/08/2023 09:50,56.21782215,-5.711382283,63.7
169983.388,709008.3038,T,24/08/2023 09:51,56.21784563,-5.711398617,63.1
169982.3556,709010.9215,T,24/08/2023 09:51,56.2178686,-5.7114175,62.7
169982.6545,709013.5634,T,24/08/2023 09:51,56.21789243,-5.711414983,62
169981.6615,709015.7418,T,24/08/2023 09:51,56.21791148,-5.71143285,61.3
169980.9557,709017.7507,T,24/08/2023 09:51,56.21792915,-5.71144595,61.3
169979.3028,709019.7729,T,24/08/2023 09:51,56.21794648,-5.7114743,62.1
169977.1918,709021.1572,T,24/08/2023 09:51,56.21795787,-5.711509467,61.6
169979.0223,709022.0244,T,24/08/2023 09:52,56.21796653,-5.711480767,62.2
169977.9551,709023.958,T,24/08/2023 09:52,56.21798335,-5.711499617,62
169978.0816,709025.9957,T,24/08/2023 09:52,56.21800168,-5.71149935,61.7
169977.4687,709028.1726,T,24/08/2023 09:52,56.2180209,-5.7115111,60.9
169977.4435,709030.3936,T,24/08/2023 09:52,56.2180408,-5.711513433,62.7
169978.0101,709028.1657,T,24/08/2023 09:52,56.2180211,-5.711502383,62.2
169977.1671,709025.8443,T,24/08/2023 09:53,56.21799988,-5.711513933,61.8
169978.7494,709023.8204,T,24/08/2023 09:53,56.2179825,-5.711486717,60.8
169978.639,709026.3248,T,24/08/2023 09:53,56.2180049,-5.711490667,62
169979.4602,709028.3184,T,24/08/2023 09:53,56.21802317,-5.711479183,65
169980.3483,709026.3866,T,24/08/2023 09:53,56.21800628,-5.711463217,64.2
169980.4177,709028.5188,T,24/08/2023 09:54,56.21802543,-5.71146395,66
169978.9793,709026.3935,T,24/08/2023 09:54,56.21800568,-5.71148525,65.1
169976.9399,709027.6434,T,24/08/2023 09:54,56.2180159,-5.71151915,64.7
169976.0246,709029.4361,T,24/08/2023 09:54,56.21803153,-5.711535433,65.8
169975.1466,709031.518,T,24/08/2023 09:54,56.21804977,-5.711551367,61.3
169976.702,709032.951,T,24/08/2023 09:55,56.21806337,-5.711527583,56.7
169977.5943,709034.9385,T,24/08/2023 09:55,56.21808162,-5.71151495,55
169978.1038,709037.182,T,24/08/2023 09:55,56.21810198,-5.7115087,55.8
169977.8026,709039.2606,T,24/08/2023 09:55,56.21812047,-5.71151535,57.8
169977.9154,709041.5054,T,24/08/2023 09:55,56.21814065,-5.711515483,58.9
169976.2527,709042.6547,T,24/08/2023 09:55,56.21815015,-5.711543233,61.1
169975.3193,709044.6313,T,24/08/2023 09:55,56.21816742,-5.711559967,60.8
169973.0654,709045.0351,T,24/08/2023 09:55,56.21816995,-5.711596583,61.5
169972.3775,709047.2606,T,24/08/2023 09:56,56.21818957,-5.711609583,60.3
169972.7532,709049.5414,T,24/08/2023 09:56,56.2182102,-5.711605517,59.4
169971.9983,709047.6435,T,24/08/2023 09:56,56.21819282,-5.711616017,57
169972.0636,709049.737,T,24/08/2023 09:56,56.21821162,-5.711616783,59.9
169970.0564,709049.8765,T,24/08/2023 09:57,56.2182119,-5.7116492,60.6
169972.0743,709050.1469,T,24/08/2023 09:58,56.2182153,-5.711616967,58
169971.8955,709048.0038,T,24/08/2023 09:58,56.218196,-5.711617983,59.5
169971.7422,709050.2127,T,24/08/2023 09:59,56.21821573,-5.711622367,61.4
169971.8592,709048.0024,T,24/08/2023 09:59,56.21819597,-5.711618567,59.4
169970.6586,709046.2156,T,24/08/2023 09:59,56.21817937,-5.711636333,62.9
169968.8645,709045.12,T,24/08/2023 09:59,56.21816868,-5.71166425,64.7
169969.8052,709046.9844,T,24/08/2023 10:00,56.21818585,-5.711650733,62.9
169970.3699,709049.0252,T,24/08/2023 10:00,56.21820442,-5.711643417,61.3
169970.8522,709046.8275,T,24/08/2023 10:00,56.21818495,-5.71163375,59.6
169971.8819,709044.8312,T,24/08/2023 10:00,56.21816755,-5.71161545,58.6
169973.5657,709043.4209,T,24/08/2023 10:00,56.21815572,-5.711587133,58.9
169973.1774,709041.3505,T,24/08/2023 10:00,56.21813697,-5.711591583,60.1
169972.3936,709043.4506,T,24/08/2023 10:00,56.21815542,-5.711606017,59.4
169971.7063,709046.0899,T,24/08/2023 10:00,56.21817875,-5.711619367,59.9
169972.8013,709047.8791,T,24/08/2023 10:01,56.21819532,-5.7116033,59.2
169973.7614,709049.8551,T,24/08/2023 10:01,56.2182135,-5.711589567,58.2
169971.078,709051.6673,T,24/08/2023 10:01,56.21822845,-5.711634317,61.3
169971.4451,709049.3889,T,24/08/2023 10:01,56.2182082,-5.711626433,60.4
169972.6823,709047.1326,T,24/08/2023 10:01,56.21818857,-5.711604567,63.6
169972.3555,709049.4848,T,24/08/2023 10:02,56.2182095,-5.711611867,63.9
169971.3944,709051.4082,T,24/08/2023 10:02,56.21822628,-5.711629,66.8
169969.9075,709049.2465,T,24/08/2023 10:02,56.21820618,-5.71165105,64
169970.438,709045.5058,T,24/08/2023 10:02,56.2181729,-5.711639267,62.5
169971.1644,709043.1667,T,24/08/2023 10:02,56.21815228,-5.71162555,62.1
169973.5803,709042.559,T,24/08/2023 10:02,56.218148,-5.71158615,60
169976.2102,709043.614,T,24/08/2023 10:02,56.21815873,-5.71154475,58.8
169976.3984,709045.9707,T,24/08/2023 10:02,56.21817995,-5.711543767,58
169975.9186,709048.2329,T,24/08/2023 10:02,56.2182,-5.71155345,56.6
169976.6506,709050.9351,T,24/08/2023 10:03,56.21822458,-5.711544017,56.8
169977.2252,709052.9274,T,24/08/2023 10:03,56.21824272,-5.7115365,56.5
169978.0897,709054.9555,T,24/08/2023 10:03,56.21826132,-5.71152435,56.7
169979.2953,709057.1246,T,24/08/2023 10:03,56.21828135,-5.711506833,55.8
169979.9736,709059.0422,T,24/08/2023 10:03,56.21829887,-5.711497583,55.7
169980.7827,709061.1378,T,24/08/2023 10:03,56.21831805,-5.711486383,55.4
169980.0043,709063.1652,T,24/08/2023 10:03,56.21833585,-5.711500667,56.3
169980.929,709064.9636,T,24/08/2023 10:03,56.21835242,-5.71148735,55.5
169981.8558,709062.8479,T,24/08/2023 10:03,56.2183339,-5.7114706,56
169980.1911,709061.0973,T,24/08/2023 10:03,56.2183174,-5.711495867,56.7
169979.0497,709058.4283,T,24/08/2023 10:03,56.21829292,-5.711511917,57
169977.907,709056.2346,T,24/08/2023 10:03,56.2182727,-5.7115284,57.4
169977.0255,709053.4513,T,24/08/2023 10:03,56.21824732,-5.711540167,57.5
169977.0093,709050.4796,T,24/08/2023 10:03,56.21822067,-5.71153785,58
169976.2782,709048.16,T,24/08/2023 10:03,56.21819952,-5.7115476,57.9
169975.8524,709045.2004,T,24/08/2023 10:04,56.21817278,-5.711551883,58.6
169974.4752,709043.3841,T,24/08/2023 10:04,56.21815583,-5.711572467,58.6
169971.3939,709043.1398,T,24/08/2023 10:04,56.21815215,-5.711621833,58.9
169969.345,709041.1233,T,24/08/2023 10:04,56.21813308,-5.71165305,60.8
169967.9075,709039.0336,T,24/08/2023 10:04,56.21811365,-5.711674367,60.3
169966.1055,709038.0399,T,24/08/2023 10:04,56.21810387,-5.7117025,59.7
169967.4622,709039.8997,T,24/08/2023 10:04,56.2181212,-5.711682283,57.5
169968.3832,709041.8411,T,24/08/2023 10:05,56.21813905,-5.71166915,56.9
169968.3716,709039.7258,T,24/08/2023 10:05,56.21812008,-5.7116675,60.6
169969.2746,709041.7952,T,24/08/2023 10:06,56.21813907,-5.711654767,57.3
169968.7164,709043.9669,T,24/08/2023 10:06,56.21815827,-5.711665633,55.5
169970.3255,709045.3022,T,24/08/2023 10:06,56.21817102,-5.7116409,56.1
169970.6354,709047.5531,T,24/08/2023 10:06,56.21819135,-5.711637867,57.7
169971.4257,709049.3955,T,24/08/2023 10:07,56.21820825,-5.71162675,59.1
169969.5571,709048.3775,T,24/08/2023 10:07,56.21819822,-5.711655933,60.4
169971.2635,709047.2716,T,24/08/2023 10:07,56.21818913,-5.711627517,58.9
169972.7796,709045.2089,T,24/08/2023 10:07,56.21817137,-5.711601333,58.8
169974.9703,709044.7092,T,24/08/2023 10:07,56.21816795,-5.71156565,59.4
169976.8598,709045.5967,T,24/08/2023 10:08,56.21817682,-5.711536017,55.8
169976.3385,709047.5489,T,24/08/2023 10:08,56.21819407,-5.7115461,57.4
