X,Y,type,time,latitude,longitude,altitude (m),speed (km/h),color,opacity,width,name,desc,horizontal_accuracy,kml_folder,source,vertical_accuracy
170051.795,708817.2005,T,17/08/2023 08:44:44,56.21616538,-5.710132167,74.5,0.1,#ff802f,1,4,D6_Track 1,,4.57646,Day 6,0,5.49491
170048.0312,708819.1122,T,17/08/2023 08:48:32,56.2161807,-5.710194383,76,0,#ff802f,1,4,D6_Track 1,,3.44412,Day 6,0,5.91528
170046.6265,708817.2494,T,17/08/2023 08:48:35,56.21616332,-5.710215367,76,0.8,#ff802f,1,4,D6_Track 1,,3.29713,Day 6,0,4.83626
170045.253,708815.2332,T,17/08/2023 08:48:37,56.21614458,-5.710235717,76,1.2,#ff802f,1,4,D6_Track 1,,3.30919,Day 6,0,3.62257
170043.2094,708812.4679,T,17/08/2023 08:48:40,56.2161188,-5.7102662,76,1.1,#ff802f,1,4,D6_Track 1,,3.23052,Day 6,0,4.30227
170041.475,708810.7712,T,17/08/2023 08:48:42,56.21610275,-5.710292633,76.1,1.2,#ff802f,1,4,D6_Track 1,,3.21738,Day 6,0,3.78327
170039.4726,708808.983,T,17/08/2023 08:48:44,56.21608575,-5.7103233,76.1,1.3,#ff802f,1,4,D6_Track 1,,3.20551,Day 6,0,3.88409
170037.0356,708807.1848,T,17/08/2023 08:48:47,56.21606845,-5.71036095,76.2,1,#ff802f,1,4,D6_Track 1,,3.28475,Day 6,0,4.72607
170036.213,708805.2047,T,17/08/2023 08:48:49,56.2160503,-5.710372467,76.5,1.1,#ff802f,1,4,D6_Track 1,,3.26846,Day 6,0,4.65335
170034.7325,708802.6633,T,17/08/2023 08:48:52,56.2160268,-5.710394083,78,1,#ff802f,1,4,D6_Track 1,,3.10653,Day 6,0,4.63655
170033.3001,708800.5544,T,17/08/2023 08:48:55,56.2160072,-5.7104153,78.9,0.8,#ff802f,1,4,D6_Track 1,,2.98018,Day 6,0,4.46908
170031.6312,708799.0917,T,17/08/2023 08:48:57,56.21599328,-5.710440883,79.4,1.1,#ff802f,1,4,D6_Track 1,,2.95894,Day 6,0,4.80807
170030.2761,708797.1872,T,17/08/2023 08:48:59,56.21597555,-5.710461033,79.6,1.2,#ff802f,1,4,D6_Track 1,,2.9557,Day 6,0,4.40451
170029.2228,708795.0969,T,17/08/2023 08:49:01,56.2159563,-5.710476167,80.2,1.2,#ff802f,1,4,D6_Track 1,,2.93852,Day 6,0,4.44536
170027.5244,708793.2421,T,17/08/2023 08:49:03,56.21593885,-5.710501883,80.4,1.3,#ff802f,1,4,D6_Track 1,,2.97473,Day 6,0,4.05885
170026.7303,708790.9816,T,17/08/2023 08:49:05,56.2159182,-5.7105127,80.4,1.2,#ff802f,1,4,D6_Track 1,,2.96101,Day 6,0,4.14878
170025.7419,708788.7517,T,17/08/2023 08:49:07,56.21589773,-5.710526667,80.4,1.2,#ff802f,1,4,D6_Track 1,,2.95579,Day 6,0,4.29879
170024.7786,708786.9454,T,17/08/2023 08:49:09,56.21588107,-5.7105406,80.1,1,#ff802f,1,4,D6_Track 1,,3.0181,Day 6,0,4.3117
170023.1164,708784.7049,T,17/08/2023 08:49:12,56.21586018,-5.7105654,80.4,0.9,#ff802f,1,4,D6_Track 1,,3.0126,Day 6,0,4.2093
170021.6053,708782.463,T,17/08/2023 08:49:15,56.21583935,-5.710587767,80.8,0.9,#ff802f,1,4,D6_Track 1,,2.93023,Day 6,0,4.16131
170019.9315,708779.9098,T,17/08/2023 08:49:18,56.21581565,-5.710612483,81.8,1,#ff802f,1,4,D6_Track 1,,2.96841,Day 6,0,4.21673
170018.7144,708778.299,T,17/08/2023 08:49:21,56.21580062,-5.710630667,82.5,0.7,#ff802f,1,4,D6_Track 1,,3.03898,Day 6,0,4.09043
170017.798,708775.9224,T,17/08/2023 08:49:25,56.21577887,-5.71064335,82.7,0.6,#ff802f,1,4,D6_Track 1,,3.01623,Day 6,0,7.63493
170016.2899,708774.0239,T,17/08/2023 08:49:29,56.21576112,-5.710665967,82.2,0.6,#ff802f,1,4,D6_Track 1,,3.06467,Day 6,0,4.33656
170014.4483,708772.2784,T,17/08/2023 08:49:33,56.21574458,-5.710694083,82.1,0.6,#ff802f,1,4,D6_Track 1,,3.14672,Day 6,0,5.47054
170013.1491,708770.6028,T,17/08/2023 08:49:35,56.21572893,-5.710713533,81.7,1.1,#ff802f,1,4,D6_Track 1,,3.25915,Day 6,0,5.44347
170011.3531,708769.533,T,17/08/2023 08:49:37,56.21571847,-5.7107415,81.3,1,#ff802f,1,4,D6_Track 1,,3.38793,Day 6,0,5.6257
170009.9972,708767.9006,T,17/08/2023 08:49:39,56.21570318,-5.7107619,80.7,1.1,#ff802f,1,4,D6_Track 1,,3.49987,Day 6,0,5.93495
