X,Y,type,time,latitude,longitude,altitude (m),speed (km/h),color,opacity,width,name,desc,horizontal_accuracy,kml_folder,source,vertical_accuracy
170632.4802,708018.7669,T,18/08/2023 10:02:48,56.20928733,-5.7000985,66.5,0.3,#ff802f,1,4,D7_Track 1,,6.03562,Day 7,0,15.0643
170634.2967,708019.9095,T,18/08/2023 10:03:09,56.20929845,-5.700070267,64.6,0.1,#ff802f,1,4,D7_Track 1,,6.27565,Day 7,0,12.568
170636.2903,708020.5697,T,18/08/2023 10:03:17,56.20930533,-5.700038767,65,0.3,#ff802f,1,4,D7_Track 1,,7.10509,Day 7,0,12.9732
170638.3855,708020.9222,T,18/08/2023 10:03:23,56.2093095,-5.700005367,61.9,0.4,#ff802f,1,4,D7_Track 1,,7.63652,Day 7,0,12.3993
170635.904,708020.9574,T,18/08/2023 10:03:31,56.20930862,-5.700045317,63.1,0.3,#ff802f,1,4,D7_Track 1,,7.41,Day 7,0,15.5769
170633.8808,708021.1142,T,18/08/2023 10:03:44,56.20930905,-5.700078,68.8,0.2,#ff802f,1,4,D7_Track 1,,7.31112,Day 7,0,14.3259
170634.9853,708018.6288,T,18/08/2023 10:03:59,56.2092873,-5.700058083,66.2,0.2,#ff802f,1,4,D7_Track 1,,8.91459,Day 7,0,11.1897
170636.9388,708017.7743,T,18/08/2023 10:04:01,56.20928058,-5.700025917,65.3,1.1,#ff802f,1,4,D7_Track 1,,8.15006,Day 7,0,10.9075
170639.0079,708017.1778,T,18/08/2023 10:04:04,56.20927623,-5.699992117,64.4,0.7,#ff802f,1,4,D7_Track 1,,8.26991,Day 7,0,11.3181
170641.2254,708016.5679,T,18/08/2023 10:04:13,56.20927183,-5.699955917,62.7,0.3,#ff802f,1,4,D7_Track 1,,7.90059,Day 7,0,13.1572
170641.2103,708013.9553,T,18/08/2023 10:04:17,56.2092484,-5.6999539,63.8,0.7,#ff802f,1,4,D7_Track 1,,8.63433,Day 7,0,3.57903
170641.2542,708011.8036,T,18/08/2023 10:04:21,56.20922913,-5.699951333,64.1,0.5,#ff802f,1,4,D7_Track 1,,9.56676,Day 7,0,13.0405
170640.4849,708009.7693,T,18/08/2023 10:04:26,56.20921052,-5.69996195,63,0.4,#ff802f,1,4,D7_Track 1,,9.82636,Day 7,0,1.71284
170640.1498,708007.6603,T,18/08/2023 10:04:29,56.20919145,-5.699965517,61.7,0.7,#ff802f,1,4,D7_Track 1,,9.62332,Day 7,0,1.12147
170640.4016,708005.291,T,18/08/2023 10:04:35,56.20917033,-5.699959417,61.5,0.4,#ff802f,1,4,D7_Track 1,,11.1579,Day 7,0,10.5479
170639.136,708003.3726,T,18/08/2023 10:04:41,56.20915252,-5.699978117,60.1,0.4,#ff802f,1,4,D7_Track 1,,12.796,Day 7,0,5.70895
170638.294,708001.1045,T,18/08/2023 10:04:44,56.20913178,-5.6999897,58.8,0.8,#ff802f,1,4,D7_Track 1,,11.2819,Day 7,0,6.31032
170639.4137,707999.0746,T,18/08/2023 10:04:48,56.20911412,-5.699969933,54.5,0.6,#ff802f,1,4,D7_Track 1,,9.07862,Day 7,0,6.64941
170638.4329,707996.2664,T,18/08/2023 10:04:53,56.20908847,-5.699983283,57.4,0.6,#ff802f,1,4,D7_Track 1,,8.34363,Day 7,0,10.4643
170637.8073,707993.9577,T,18/08/2023 10:04:56,56.20906747,-5.69999135,58.3,0.8,#ff802f,1,4,D7_Track 1,,7.83293,Day 7,0,9.9705
170636.9964,707991.0154,T,18/08/2023 10:04:58,56.2090407,-5.70000185,60.5,1.5,#ff802f,1,4,D7_Track 1,,7.30075,Day 7,0,10.3933
170636.2422,707988.6858,T,18/08/2023 10:05:00,56.20901945,-5.700011967,60.7,1.2,#ff802f,1,4,D7_Track 1,,7.0836,Day 7,0,8.94937
170634.7256,707986.2209,T,18/08/2023 10:05:04,56.20899662,-5.700034233,60.5,0.7,#ff802f,1,4,D7_Track 1,,7.95605,Day 7,0,9.32967
170633.5657,707984.4964,T,18/08/2023 10:05:09,56.2089806,-5.7000514,58.8,0.4,#ff802f,1,4,D7_Track 1,,8.86233,Day 7,0,11.3692
170633.2041,707982.2595,T,18/08/2023 10:05:12,56.20896037,-5.700055283,57.2,0.8,#ff802f,1,4,D7_Track 1,,7.64447,Day 7,0,12.3108
170632.6654,707979.8524,T,18/08/2023 10:05:16,56.20893853,-5.700061867,59.5,0.6,#ff802f,1,4,D7_Track 1,,7.37939,Day 7,0,7.43994
170633.8458,707978.1047,T,18/08/2023 10:05:19,56.20892343,-5.700041367,61,0.7,#ff802f,1,4,D7_Track 1,,7.40606,Day 7,0,3.49405
170634.4552,707975.5456,T,18/08/2023 10:05:21,56.20890078,-5.70002935,60.1,1.3,#ff802f,1,4,D7_Track 1,,6.9652,Day 7,0,9.0576
170635.1655,707973.3983,T,18/08/2023 10:05:23,56.20888187,-5.700016067,58.9,1.1,#ff802f,1,4,D7_Track 1,,6.70789,Day 7,0,9.14277
170635.2435,707971.3596,T,18/08/2023 10:05:25,56.20886363,-5.70001305,58.4,1,#ff802f,1,4,D7_Track 1,,6.75854,Day 7,0,7.78132
170634.9596,707969.143,T,18/08/2023 10:05:27,56.20884362,-5.7000157,58.5,1.1,#ff802f,1,4,D7_Track 1,,6.84088,Day 7,0,6.50488
170634.3783,707967.1777,T,18/08/2023 10:05:29,56.20882572,-5.70002335,60,1,#ff802f,1,4,D7_Track 1,,6.61706,Day 7,0,3.6797
170632.5619,707966.2492,T,18/08/2023 10:05:32,56.20881652,-5.700051767,60.9,0.7,#ff802f,1,4,D7_Track 1,,6.78972,Day 7,0,1.90956
170633.4453,707964.2755,T,18/08/2023 10:05:37,56.20879925,-5.70003585,62,0.4,#ff802f,1,4,D7_Track 1,,6.91713,Day 7,0,6.36341
170631.0356,707962.1988,T,18/08/2023 10:05:49,56.20877947,-5.700072817,63.7,0.3,#ff802f,1,4,D7_Track 1,,9.89639,Day 7,0,9.81117
170629.0019,707961.1214,T,18/08/2023 10:05:53,56.20876883,-5.7001046,63.9,0.6,#ff802f,1,4,D7_Track 1,,10.2303,Day 7,0,9.91653
170626.7904,707958.7218,T,18/08/2023 10:05:55,56.20874625,-5.7001381,63.8,1.6,#ff802f,1,4,D7_Track 1,,8.96622,Day 7,0,10.41
170625.274,707957.3979,T,18/08/2023 10:05:59,56.20873365,-5.70016135,62.2,0.5,#ff802f,1,4,D7_Track 1,,7.75886,Day 7,0,10.1816
170625.9546,707954.8718,T,18/08/2023 10:06:08,56.20871133,-5.700148217,60.3,0.3,#ff802f,1,4,D7_Track 1,,6.44331,Day 7,0,9.38455
170627.1166,707952.4547,T,18/08/2023 10:06:13,56.20869022,-5.700127433,58.6,0.5,#ff802f,1,4,D7_Track 1,,6.7702,Day 7,0,10.4008
170628.1119,707950.4248,T,18/08/2023 10:06:17,56.2086725,-5.700109667,59.4,0.6,#ff802f,1,4,D7_Track 1,,6.86838,Day 7,0,8.95293
170628.3408,707948.0724,T,18/08/2023 10:06:20,56.20865152,-5.70010395,60,0.8,#ff802f,1,4,D7_Track 1,,7.05386,Day 7,0,3.5878
170628.1585,707946.0689,T,18/08/2023 10:06:22,56.20863347,-5.70010515,60.5,1,#ff802f,1,4,D7_Track 1,,7.25389,Day 7,0,8.46931
170627.7597,707943.6432,T,18/08/2023 10:06:24,56.20861153,-5.700109467,62.3,1.2,#ff802f,1,4,D7_Track 1,,7.0619,Day 7,0,7.83294
170627.3075,707941.4167,T,18/08/2023 10:06:27,56.20859135,-5.700114817,62.2,0.8,#ff802f,1,4,D7_Track 1,,6.53799,Day 7,0,8.04214
170625.9459,707939.6975,T,18/08/2023 10:06:31,56.20857528,-5.700135233,60.9,0.5,#ff802f,1,4,D7_Track 1,,6.96396,Day 7,0,8.13074
170624.7296,707936.8462,T,18/08/2023 10:06:35,56.20854913,-5.700152333,61.1,0.8,#ff802f,1,4,D7_Track 1,,7.76635,Day 7,0,3.55586
170625.4995,707934.1881,T,18/08/2023 10:06:38,56.20852567,-5.70013765,59.9,0.9,#ff802f,1,4,D7_Track 1,,7.76296,Day 7,0,10.4505
170625.4487,707931.7035,T,18/08/2023 10:06:41,56.20850337,-5.700136317,58.2,0.8,#ff802f,1,4,D7_Track 1,,7.11349,Day 7,0,6.88356
170625.6069,707929.6739,T,18/08/2023 10:06:48,56.20848525,-5.700132017,57.4,0.3,#ff802f,1,4,D7_Track 1,,6.85871,Day 7,0,8.18413
170625.1726,707927.2792,T,18/08/2023 10:06:53,56.20846357,-5.700136933,58.8,0.5,#ff802f,1,4,D7_Track 1,,6.77515,Day 7,0,8.36702
170623.9377,707925.5844,T,18/08/2023 10:06:55,56.20844778,-5.700155333,58.9,1,#ff802f,1,4,D7_Track 1,,6.59896,Day 7,0,11.0076
170622.5561,707923.226,T,18/08/2023 10:06:58,56.20842597,-5.700175517,58.9,0.9,#ff802f,1,4,D7_Track 1,,6.31288,Day 7,0,9.07999
170620.9639,707921.4946,T,18/08/2023 10:07:02,56.20840968,-5.700199633,59.2,0.6,#ff802f,1,4,D7_Track 1,,5.98669,Day 7,0,8.10703
170619.1023,707920.4983,T,18/08/2023 10:07:13,56.20839985,-5.700228717,57.5,0.2,#ff802f,1,4,D7_Track 1,,9.03915,Day 7,0,2.41161
170619.5529,707918.279,T,18/08/2023 10:07:16,56.20838017,-5.70021955,57.2,0.8,#ff802f,1,4,D7_Track 1,,8.71173,Day 7,0,1.90475
170620.736,707915.7147,T,18/08/2023 10:07:20,56.20835775,-5.7001983,56.8,0.7,#ff802f,1,4,D7_Track 1,,7.66976,Day 7,0,1.5179
170621.0576,707913.7176,T,18/08/2023 10:07:25,56.20834,-5.7001914,57.7,0.4,#ff802f,1,4,D7_Track 1,,7.31232,Day 7,0,4.01977
170623.0077,707912.9324,T,18/08/2023 10:07:38,56.2083339,-5.70015935,61.4,0.2,#ff802f,1,4,D7_Track 1,,4.70375,Day 7,0,8.02968
170623.6341,707910.9769,T,18/08/2023 10:07:42,56.20831667,-5.700147583,61,0.5,#ff802f,1,4,D7_Track 1,,4.44523,Day 7,0,9.45975
170623.0473,707908.7342,T,18/08/2023 10:07:45,56.20829628,-5.700155083,61.5,0.8,#ff802f,1,4,D7_Track 1,,4.308,Day 7,0,7.82258
170622.2671,707906.1706,T,18/08/2023 10:07:53,56.20827292,-5.700165417,61.8,0.3,#ff802f,1,4,D7_Track 1,,5.79395,Day 7,0,9.56605
170621.9728,707903.9925,T,18/08/2023 10:07:55,56.20825325,-5.700168267,61.7,1.1,#ff802f,1,4,D7_Track 1,,5.77646,Day 7,0,8.73833
170621.1074,707901.9254,T,18/08/2023 10:07:57,56.2082343,-5.7001804,61.9,1.1,#ff802f,1,4,D7_Track 1,,5.7747,Day 7,0,2.82118
170620.5716,707899.3977,T,18/08/2023 10:08:00,56.20821138,-5.700186833,62,0.9,#ff802f,1,4,D7_Track 1,,5.71658,Day 7,0,9.86491
170619.4073,707897.243,T,18/08/2023 10:08:02,56.2081915,-5.7002037,62.5,1.2,#ff802f,1,4,D7_Track 1,,5.92925,Day 7,0,9.95767
170618.1081,707895.3944,T,18/08/2023 10:08:04,56.2081743,-5.700223,62.8,1.1,#ff802f,1,4,D7_Track 1,,6.0974,Day 7,0,7.96522
170616.468,707893.1793,T,18/08/2023 10:08:07,56.20815365,-5.700247467,62.7,0.9,#ff802f,1,4,D7_Track 1,,6.01929,Day 7,0,9.18859
170614.3974,707892.1663,T,18/08/2023 10:08:09,56.20814357,-5.7002799,62.9,1.1,#ff802f,1,4,D7_Track 1,,6.01881,Day 7,0,2.95286
170611.9686,707891.8742,T,18/08/2023 10:08:12,56.20813978,-5.700318717,63.8,0.8,#ff802f,1,4,D7_Track 1,,6.15557,Day 7,0,8.63884
170610.9525,707889.7783,T,18/08/2023 10:08:14,56.2081205,-5.70033325,64.1,1.2,#ff802f,1,4,D7_Track 1,,5.9762,Day 7,0,11.2816
170609.8471,707887.8725,T,18/08/2023 10:08:18,56.20810288,-5.700349383,63.9,0.5,#ff802f,1,4,D7_Track 1,,5.45183,Day 7,0,11.571
170608.9353,707885.3662,T,18/08/2023 10:08:33,56.20807997,-5.700361883,62.7,0.2,#ff802f,1,4,D7_Track 1,,6.30569,Day 7,0,7.19047
170607.8706,707882.5413,T,18/08/2023 10:08:36,56.20805413,-5.700376567,63.3,1,#ff802f,1,4,D7_Track 1,,6.04212,Day 7,0,8.12181
170607.3408,707880.2219,T,18/08/2023 10:08:38,56.20803308,-5.700383083,63.7,1.2,#ff802f,1,4,D7_Track 1,,5.86565,Day 7,0,6.67569
170607.1813,707877.7565,T,18/08/2023 10:08:43,56.2080109,-5.700383517,66.3,0.5,#ff802f,1,4,D7_Track 1,,5.92192,Day 7,0,7.95151
170606.7063,707875.6651,T,18/08/2023 10:08:47,56.20799192,-5.70038935,69.2,0.5,#ff802f,1,4,D7_Track 1,,5.87126,Day 7,0,7.64793
170605.498,707873.4056,T,18/08/2023 10:08:50,56.20797108,-5.700406833,68.5,0.9,#ff802f,1,4,D7_Track 1,,5.76156,Day 7,0,7.71342
170603.9585,707871.4628,T,18/08/2023 10:08:53,56.20795292,-5.700429917,67,0.8,#ff802f,1,4,D7_Track 1,,5.63689,Day 7,0,6.35256
170603.2403,707869.2049,T,18/08/2023 10:08:57,56.20793233,-5.700439517,65.8,0.6,#ff802f,1,4,D7_Track 1,,5.59533,Day 7,0,6.32552
170603.2703,707867.1219,T,18/08/2023 10:09:01,56.20791367,-5.700437233,64.2,0.5,#ff802f,1,4,D7_Track 1,,5.8466,Day 7,0,6.86084
170604.0824,707865.2301,T,18/08/2023 10:09:08,56.2078971,-5.700422533,60.6,0.3,#ff802f,1,4,D7_Track 1,,6.98661,Day 7,0,2.42719
170604.15,707862.96,T,18/08/2023 10:09:14,56.20787678,-5.700419483,59.8,0.4,#ff802f,1,4,D7_Track 1,,7.03288,Day 7,0,8.1036
170605.6877,707861.3649,T,18/08/2023 10:09:20,56.20786322,-5.700393367,60.9,0.4,#ff802f,1,4,D7_Track 1,,7.50203,Day 7,0,2.06163
170608.0428,707859.6879,T,18/08/2023 10:09:23,56.20784932,-5.700354033,60.8,1,#ff802f,1,4,D7_Track 1,,7.72523,Day 7,0,3.35159
170610.2316,707858.215,T,18/08/2023 10:09:25,56.20783717,-5.70031755,61.4,1.3,#ff802f,1,4,D7_Track 1,,7.79594,Day 7,0,2.47208
170610.9992,707856.2084,T,18/08/2023 10:09:29,56.20781955,-5.700303467,61.8,0.5,#ff802f,1,4,D7_Track 1,,8.08868,Day 7,0,1.70582
170612.2938,707854.5215,T,18/08/2023 10:09:32,56.20780505,-5.700281183,60.9,0.7,#ff802f,1,4,D7_Track 1,,8.56388,Day 7,0,1.49832
170613.7021,707853.0426,T,18/08/2023 10:09:34,56.20779247,-5.70025725,60.6,1,#ff802f,1,4,D7_Track 1,,9.19715,Day 7,0,1.20862
170615.8093,707851.882,T,18/08/2023 10:09:37,56.20778308,-5.70022235,60.4,0.8,#ff802f,1,4,D7_Track 1,,9.9689,Day 7,0,2.1222
170618.6375,707850.1037,T,18/08/2023 10:09:39,56.2077685,-5.700175317,61.9,1.7,#ff802f,1,4,D7_Track 1,,9.10545,Day 7,0,2.08539
170619.79,707848.2984,T,18/08/2023 10:09:41,56.20775287,-5.700155217,62.1,1.1,#ff802f,1,4,D7_Track 1,,8.49078,Day 7,0,4.80348
170620.0752,707845.8181,T,18/08/2023 10:09:44,56.20773077,-5.700148483,63.3,0.8,#ff802f,1,4,D7_Track 1,,7.36846,Day 7,0,4.69811
170619.6138,707843.7292,T,18/08/2023 10:09:47,56.20771182,-5.7001541,62.4,0.7,#ff802f,1,4,D7_Track 1,,7.41006,Day 7,0,2.82907
170620.514,707841.4724,T,18/08/2023 10:09:50,56.20769202,-5.700137667,62.2,0.8,#ff802f,1,4,D7_Track 1,,7.61667,Day 7,0,2.76879
