X,Y,type,time,latitude,longitude,altitude (m),speed (km/h),color,opacity,width,name,desc,horizontal_accuracy,kml_folder,source,vertical_accuracy
170050.0599,708821.4266,T,20/08/2023 08:42:27,56.21620243,-5.71016375,78.6,0,#ff802f,1,4,D9_Track 1,,5.31509,Day 9,0,5.17205
170052.2681,708820.5959,T,20/08/2023 08:50:25,56.21619605,-5.7101275,76.5,0,#ff802f,1,4,D9_Track 1,,5.16454,Day 9,0,2.57424
170053.9487,708819.0084,T,20/08/2023 08:50:33,56.21618263,-5.710099083,76.1,0.3,#ff802f,1,4,D9_Track 1,,4.88546,Day 9,0,6.58557
170055.5414,708816.4821,T,20/08/2023 08:50:39,56.21616075,-5.710071267,78.1,0.5,#ff802f,1,4,D9_Track 1,,4.61887,Day 9,0,3.88497
170056.2664,708814.4821,T,20/08/2023 08:50:42,56.21614317,-5.710057867,79,0.7,#ff802f,1,4,D9_Track 1,,4.70873,Day 9,0,6.99381
170057.3064,708811.8696,T,20/08/2023 08:50:44,56.21612025,-5.710038867,79.8,1.4,#ff802f,1,4,D9_Track 1,,4.67016,Day 9,0,4.87976
170058.1083,708809.0267,T,20/08/2023 08:50:46,56.21609515,-5.7100235,80.9,1.5,#ff802f,1,4,D9_Track 1,,4.61232,Day 9,0,2.22416
170060.0716,708806.8239,T,20/08/2023 08:50:52,56.21607635,-5.70999,81.8,0.5,#ff802f,1,4,D9_Track 1,,4.88273,Day 9,0,7.90772
170061.5146,708805.1901,T,20/08/2023 08:50:57,56.2160624,-5.709965367,82.2,0.4,#ff802f,1,4,D9_Track 1,,4.91822,Day 9,0,2.41367
170063.3142,708802.8512,T,20/08/2023 08:51:15,56.2160423,-5.709934383,82,0.2,#ff802f,1,4,D9_Track 1,,5.59079,Day 9,0,3.06885
170064.4071,708800.7198,T,20/08/2023 08:51:22,56.21602372,-5.70991495,80.5,0.3,#ff802f,1,4,D9_Track 1,,5.5894,Day 9,0,7.84872
170066.4521,708798.5127,T,20/08/2023 08:51:25,56.21600492,-5.709880133,81.7,1,#ff802f,1,4,D9_Track 1,,5.42365,Day 9,0,4.36502
170067.4118,708796.6774,T,20/08/2023 08:51:32,56.21598893,-5.7098631,80.5,0.3,#ff802f,1,4,D9_Track 1,,5.35284,Day 9,0,8.4032
170068.6585,708794.4764,T,20/08/2023 08:51:34,56.2159698,-5.709841133,80.4,1.3,#ff802f,1,4,D9_Track 1,,5.54116,Day 9,0,7.07881
170069.4217,708792.5503,T,20/08/2023 08:51:40,56.2159529,-5.709827183,79.4,0.3,#ff802f,1,4,D9_Track 1,,5.68852,Day 9,0,8.39839
170070.9604,708791.0207,T,20/08/2023 08:51:42,56.21593993,-5.7098011,79.3,1.1,#ff802f,1,4,D9_Track 1,,5.60479,Day 9,0,6.94915
170072.2935,708787.5401,T,20/08/2023 08:51:44,56.21590937,-5.709776633,81,1.9,#ff802f,1,4,D9_Track 1,,5.70561,Day 9,0,5.45589
170073.0465,708785.503,T,20/08/2023 08:51:47,56.21589147,-5.70976275,81,0.7,#ff802f,1,4,D9_Track 1,,5.6436,Day 9,0,7.10755
170074.0024,708782.4042,T,20/08/2023 08:51:58,56.21586415,-5.709744683,79.9,0.3,#ff802f,1,4,D9_Track 1,,5.21683,Day 9,0,8.52731
