X,Y,T
170052.5,708812.5,0.0
170052.5,708817.5,0.08171056962512531
170052.5,708822.5,0.08220889466692603
170052.5,708827.5,0.07689065075089463
170052.5,708832.5,0.07550084701461701
170052.5,708837.5,0.07974734007906453
170057.5,708837.5,0.1395222398620397
170062.5,708837.5,0.09746603139152066
170067.5,708837.5,0.06291242996958246
170067.5,708842.5,0.07642451895490787
170072.5,708842.5,0.06291242996958246
170077.5,708842.5,0.06564780420836058
170077.5,708847.5,0.09060808170037005
170082.5,708847.5,0.05570912039595877
170087.5,708847.5,0.05570912039595877
170087.5,708852.5,0.07368681617023864
170087.5,708857.5,0.07324014934790779
170092.5,708857.5,0.05604883892151813
170097.5,708857.5,0.05570912039595877
170097.5,708862.5,0.07324014934790779
170102.5,708862.5,0.052742616033755185
170102.5,708867.5,0.06850207026801014
170102.5,708872.5,0.0689198211725135
170102.5,708877.5,0.06808681204160139
170107.5,708877.5,0.052742616033755185
170107.5,708882.5,0.060291066660565606
170112.5,708882.5,0.05306427535470104
170117.5,708882.5,0.05306425997046804
170122.5,708882.5,0.05338788088865809
170122.5,708887.5,0.05920131869796319
170122.5,708892.5,0.05884245850729464
170127.5,708892.5,0.05404104005681809
170132.5,708892.5,0.05437061802535759
170132.5,708897.5,0.05306427535470082
170132.5,708902.5,0.05338788088865787
170137.5,708902.5,0.053064259970468264
170137.5,708907.5,0.05274261603375541
170142.5,708907.5,0.05371347546103156
170147.5,708907.5,0.05404104005681809
170152.5,708907.5,0.05371347546103156
170157.5,708907.5,0.05371345988858467
170162.5,708907.5,0.05404104005681809
170162.5,708912.5,0.05437061802535759
170167.5,708912.5,0.05338788088865787
170172.5,708912.5,0.05537142883761259
170177.5,708912.5,0.05306427535470082
170177.5,708917.5,0.05437061802535759
170177.5,708922.5,0.05404104005681809
170182.5,708922.5,0.05537142883761259
170187.5,708922.5,0.05537142883761259
170192.5,708922.5,0.05537142883761259
170197.5,708922.5,0.0553714448907332
170202.5,708922.5,0.05537142883761259
170202.5,708927.5,0.05673456928836407
170202.5,708932.5,0.056390678122751225
170207.5,708932.5,0.055035800217470676
170212.5,708932.5,0.05570912039595877
170217.5,708932.5,0.06253107416348147
170222.5,708932.5,0.06253109229230525
170227.5,708932.5,0.06291242996958246
170232.5,708932.5,0.06253107416348147
170237.5,708932.5,0.060658743834881346
170242.5,708932.5,0.054370602262393763
170247.5,708932.5,0.05437061802535759
170252.5,708932.5,0.054370602262393763
170257.5,708932.5,0.05437061802535803
170262.5,708932.5,0.05437061802535759
170267.5,708932.5,0.05503580021747023
170272.5,708932.5,0.06604812959661555
170277.5,708932.5,0.05884245850729464
170282.5,708932.5,0.05777892732527157
170287.5,708932.5,0.08474642985781511
170292.5,708932.5,0.08897038605575602
170297.5,708932.5,0.05470220597810993
170302.5,708932.5,0.05404104005681809
170307.5,708932.5,0.12505877521873554
170307.5,708927.5,0.12131418038943753
170307.5,708922.5,0.12057881112971813
170307.5,708917.5,0.12131418038943753
170307.5,708912.5,0.0727961900825127
170307.5,708907.5,0.07324014934790757
170307.5,708902.5,0.0922760297449079
170307.5,708897.5,0.0802336455277306
170307.5,708892.5,0.08072305692243376
170307.5,708887.5,0.08023373857217297
170307.5,708882.5,0.10357572560938255
170307.5,708877.5,0.11555473788695458
170307.5,708872.5,0.08474638071896923
170307.5,708867.5,0.08072305692243376
170302.5,708867.5,0.08897043764382406
170297.5,708867.5,0.09283873611231463
170292.5,708867.5,0.06407047161827961
170287.5,708867.5,0.06407047161827961
170282.5,708867.5,0.05537142883761259
170282.5,708862.5,0.09628799446801128
170282.5,708857.5,0.14382877796882365
170282.5,708852.5,0.0636820961197806
170282.5,708847.5,0.06329614823660723
170282.5,708842.5,0.06407047161827961
170282.5,708837.5,0.07061647709157093
170282.5,708832.5,0.07061647709157093
170282.5,708827.5,0.07061655898328478
170282.5,708822.5,0.07061647709157093
170282.5,708817.5,0.07061647709157093
170282.5,708812.5,0.056048871420549595
170282.5,708807.5,0.05956238472332753
170282.5,708802.5,0.05992556600593435
170282.5,708797.5,0.05673460218500459
170282.5,708792.5,0.05274261603375496
170282.5,708787.5,0.05306427535470082
170282.5,708782.5,0.05306421381779636
170287.5,708782.5,0.0610286632402941
170287.5,708777.5,0.05673460218500459
170287.5,708772.5,0.05848579057278158
170287.5,708767.5,0.05884247556672584
170287.5,708762.5,0.05848579057278158
170287.5,708757.5,0.05884240732903123
170292.5,708757.5,0.05306427535470082
170297.5,708757.5,0.06215206605688728
170302.5,708757.5,0.07413616407529666
170307.5,708757.5,0.07458838188516026
170312.5,708757.5,0.07413616407529666
170317.5,708757.5,0.07413616407529666
170322.5,708757.5,0.07458829538745348
170327.5,708757.5,0.07458829538745348
170332.5,708757.5,0.07596130106501953
170337.5,708757.5,0.06524986740469885
170337.5,708752.5,0.06850207026801058
170337.5,708747.5,0.07061647709157093
170337.5,708742.5,0.07550084701461657
170337.5,708737.5,0.0727962322922302
170342.5,708737.5,0.06102866324029321
170347.5,708737.5,0.060658726248883355
170352.5,708737.5,0.06102866324029321
170352.5,708732.5,0.07235496391552942
170352.5,708727.5,0.07148043544776783
170352.5,708722.5,0.0710471430269557
170357.5,708722.5,0.057080541080592795
170357.5,708717.5,0.07148043544776783
170357.5,708712.5,0.07061655898328567
170362.5,708712.5,0.05604887142054871
170362.5,708707.5,0.07018842172066364
170367.5,708707.5,0.05604887142054871
170367.5,708702.5,0.07018842172066364
170367.5,708697.5,0.06976304199171501
170372.5,708697.5,0.05639062907692605
170372.5,708692.5,0.06976304199171501
