X,Y
171067.5,708667.5
171062.5,708667.5
171057.5,708667.5
171052.5,708667.5
171047.5,708667.5
171042.5,708667.5
171042.5,708672.5
171042.5,708677.5
171037.5,708677.5
171037.5,708682.5
171032.5,708682.5
171027.5,708682.5
171022.5,708682.5
171017.5,708682.5
171012.5,708682.5
171012.5,708687.5
171012.5,708692.5
171012.5,708697.5
171012.5,708702.5
171012.5,708707.5
171012.5,708712.5
171012.5,708717.5
171012.5,708722.5
171012.5,708727.5
171007.5,708727.5
171002.5,708727.5
171002.5,708732.5
171002.5,708737.5
171002.5,708742.5
171002.5,708747.5
171002.5,708752.5
170997.5,708752.5
170997.5,708757.5
170992.5,708757.5
170992.5,708762.5
170992.5,708767.5
170992.5,708772.5
170992.5,708777.5
170992.5,708782.5
170992.5,708787.5
170987.5,708787.5
170982.5,708787.5
170977.5,708787.5
170972.5,708787.5
170967.5,708787.5
170962.5,708787.5
170957.5,708787.5
170952.5,708787.5
170947.5,708787.5
170947.5,708792.5
170942.5,708792.5
170937.5,708792.5
170932.5,708792.5
170927.5,708792.5
170922.5,708792.5
170917.5,708792.5
170912.5,708792.5
170907.5,708792.5
170902.5,708792.5
170897.5,708792.5
170892.5,708792.5
170892.5,708797.5
170887.5,708797.5
170882.5,708797.5
170882.5,708802.5
170882.5,708807.5
170882.5,708812.5
170882.5,708817.5
170882.5,708822.5
170882.5,708827.5
170882.5,708832.5
170882.5,708837.5
170877.5,708837.5
170877.5,708842.5
170877.5,708847.5
170872.5,708847.5
170867.5,708847.5
170862.5,708847.5
170857.5,708847.5
170852.5,708847.5
170847.5,708847.5
170842.5,708847.5
170837.5,708847.5
170832.5,708847.5
170832.5,708852.5
170832.5,708857.5
170832.5,708862.5
170827.5,708862.5
170827.5,708867.5
170827.5,708872.5
170827.5,708877.5
170822.5,708877.5
170817.5,708877.5
170812.5,708877.5
170807.5,708877.5
170807.5,708882.5
170802.5,708882.5
170802.5,708887.5
170797.5,708887.5
170797.5,708892.5
170797.5,708897.5
170797.5,708902.5
170792.5,708902.5
170787.5,708902.5
170787.5,708907.5
170787.5,708912.5
170782.5,708912.5
170782.5,708917.5
170777.5,708917.5
170777.5,708922.5
170772.5,708922.5
170772.5,708927.5
170767.5,708927.5
170767.5,708932.5
170767.5,708937.5
170762.5,708937.5
170757.5,708937.5
170752.5,708937.5
170747.5,708937.5
170747.5,708942.5
170747.5,708947.5
170742.5,708947.5
170742.5,708952.5
170737.5,708952.5
170737.5,708957.5
170737.5,708962.5
170732.5,708962.5
170727.5,708962.5
170727.5,708967.5
170727.5,708972.5
170722.5,708972.5
170722.5,708977.5
170722.5,708982.5
170722.5,708987.5
170722.5,708992.5
170722.5,708997.5
170722.5,709002.5
170722.5,709007.5
170717.5,709007.5
170712.5,709007.5
170712.5,709012.5
170712.5,709017.5
170712.5,709022.5
170712.5,709027.5
170707.5,709027.5
170707.5,709032.5
170702.5,709032.5
170702.5,709037.5
170702.5,709042.5
170702.5,709047.5
170702.5,709052.5
170697.5,709052.5
170692.5,709052.5
170687.5,709052.5
170687.5,709057.5
170682.5,709057.5
170682.5,709062.5
170677.5,709062.5
170672.5,709062.5
170667.5,709062.5
170667.5,709067.5
170662.5,709067.5
170657.5,709067.5
170652.5,709067.5
170647.5,709067.5
170647.5,709072.5
170647.5,709077.5
170647.5,709082.5
170647.5,709087.5
170642.5,709087.5
170637.5,709087.5
170632.5,709087.5
170632.5,709092.5
170627.5,709092.5
170622.5,709092.5
170622.5,709097.5
170617.5,709097.5
170612.5,709097.5
170607.5,709097.5
170602.5,709097.5
170597.5,709097.5
170592.5,709097.5
170587.5,709097.5
