X,Y
171042.5,708317.5
171042.5,708322.5
171042.5,708327.5
171042.5,708332.5
171037.5,708332.5
171037.5,708337.5
171037.5,708342.5
171037.5,708347.5
171037.5,708352.5
171037.5,708357.5
171037.5,708362.5
171037.5,708367.5
171037.5,708372.5
171037.5,708377.5
171037.5,708382.5
171037.5,708387.5
171037.5,708392.5
171037.5,708397.5
171037.5,708402.5
171037.5,708407.5
171037.5,708412.5
171037.5,708417.5
171037.5,708422.5
171037.5,708427.5
171037.5,708432.5
171037.5,708437.5
171037.5,708442.5
171037.5,708447.5
171037.5,708452.5
171037.5,708457.5
171037.5,708462.5
171042.5,708462.5
171047.5,708462.5
171052.5,708462.5
171052.5,708467.5
171052.5,708472.5
171052.5,708477.5
171052.5,708482.5
171052.5,708487.5
171052.5,708492.5
171052.5,708497.5
171052.5,708502.5
171052.5,708507.5
171052.5,708512.5
171052.5,708517.5
171052.5,708522.5
171052.5,708527.5
171052.5,708532.5
171052.5,708537.5
171052.5,708542.5
171057.5,708542.5
171057.5,708547.5
171057.5,708552.5
171057.5,708557.5
171057.5,708562.5
171057.5,708567.5
171057.5,708572.5
171057.5,708577.5
171057.5,708582.5
171057.5,708587.5
171057.5,708592.5
171057.5,708597.5
171057.5,708602.5
171057.5,708607.5
171057.5,708612.5
171057.5,708617.5
171057.5,708622.5
171057.5,708627.5
171057.5,708632.5
171057.5,708637.5
171057.5,708642.5
171057.5,708647.5
171057.5,708652.5
171057.5,708657.5
171057.5,708662.5
171057.5,708667.5
171062.5,708667.5
171067.5,708667.5
