X,Y
171312.5,707357.5
171307.5,707357.5
171307.5,707362.5
171307.5,707367.5
171307.5,707372.5
171307.5,707377.5
171307.5,707382.5
171307.5,707387.5
171307.5,707392.5
171307.5,707397.5
171307.5,707402.5
171307.5,707407.5
171307.5,707412.5
171302.5,707412.5
171297.5,707412.5
171297.5,707417.5
171297.5,707422.5
171297.5,707427.5
171297.5,707432.5
171297.5,707437.5
171297.5,707442.5
171297.5,707447.5
171297.5,707452.5
171297.5,707457.5
171297.5,707462.5
171297.5,707467.5
171297.5,707472.5
171297.5,707477.5
171297.5,707482.5
171297.5,707487.5
171297.5,707492.5
171297.5,707497.5
171297.5,707502.5
171297.5,707507.5
171297.5,707512.5
171297.5,707517.5
171297.5,707522.5
171297.5,707527.5
171292.5,707527.5
171292.5,707532.5
171292.5,707537.5
171292.5,707542.5
171292.5,707547.5
171287.5,707547.5
171287.5,707552.5
171287.5,707557.5
171287.5,707562.5
171287.5,707567.5
171287.5,707572.5
171287.5,707577.5
171282.5,707577.5
171277.5,707577.5
171272.5,707577.5
171267.5,707577.5
171262.5,707577.5
171257.5,707577.5
171252.5,707577.5
171247.5,707577.5
171242.5,707577.5
171237.5,707577.5
171232.5,707577.5
171227.5,707577.5
171222.5,707577.5
171217.5,707577.5
171212.5,707577.5
171207.5,707577.5
171202.5,707577.5
171197.5,707577.5
171197.5,707582.5
171197.5,707587.5
171197.5,707592.5
171197.5,707597.5
171197.5,707602.5
171197.5,707607.5
171197.5,707612.5
171197.5,707617.5
171197.5,707622.5
