time,X,Y,latitude,longitude,altitude (m),field_11,mapgrid_x,mapgrid_y,mapgrid_z,dx,dx_cum,dz,groupings
28214516.0,169972.29815,709048.545625,56.2182010525,-5.711611975,59.15,0.21671800000000002,169972.5,709047.5,3.74000001,9.76817544099818,151.3620301463407,-1.3799998799999997,0
28214517.0,169970.0564,709049.8765,56.2182119,-5.7116492,60.6,0.0385481,169972.5,709047.5,3.74000001,2.606238429038907,153.9682685753796,0.0,0
28214518.0,169971.9849,709049.07535,56.21820565,-5.711617475000001,58.75,0.0764235,169972.5,709047.5,3.74000001,2.0876480497482497,156.05591662512785,0.0,0
28214519.0,169970.781125,709047.3876750001,56.21818993749999,-5.71163537925,62.099999999999994,0.20242842500000002,169972.5,709047.5,3.74000001,2.072362285577726,158.12827891070557,0.0,0
28214520.0,169971.719025,709045.247525,56.218171203749996,-5.71161843125,60.08749999999999,0.46613974999999996,169972.5,709047.5,3.74000001,2.335950333209769,160.46422924391536,0.0,0
28214521.0,169972.35362,709049.1846,56.218206808000005,-5.711611636800001,60.54,0.48637596000000005,169972.5,709047.5,3.74000001,3.986731116846348,164.4509603607617,0.0,0
28214522.0,169973.0408111111,709046.5765111112,56.21818375777777,-5.711598316777778,61.41111111111112,0.8656824888888889,169972.5,709047.5,3.74000001,2.6963059500589197,167.14726631082064,0.0,0
28214525.0,169968.3774,709040.78345,56.218129565,-5.711668325,58.75,0.05972525000000001,169967.5,709042.5,3.23000002,2.0795287406609844,198.87098767791767,0.66000009,0
28214526.0,169969.73797500003,709044.65435,56.2181649275,-5.71164979175,56.650000000000006,0.238471,169967.5,709042.5,3.23000002,4.101916309791352,202.97290398770903,0.0,0
28214527.0,169971.99923999998,709046.99254,56.218186984,-5.711615436600001,59.31999999999999,0.3879236,169972.5,709047.5,3.74000001,3.251829549897632,206.22473353760665,0.5099999900000003,0
28214528.0,169976.35940000002,709046.1955333333,56.21818194666667,-5.711544589,56.099999999999994,0.3937781666666667,169977.5,709047.5,3.08999991,4.431084097072913,210.65581763467958,-0.6500001000000002,0
28214529.0,169976.7380333333,709045.4758444445,56.218175677777786,-5.711537872222223,59.0111111111111,0.8752442111111112,169977.5,709047.5,3.08999991,0.8129421495118507,211.46875978419143,0.0,0
28214535.0,170042.58172000002,708968.51834,56.217517556,-5.7104116666,59.14,0.32440228,170042.5,708967.5,4.01000023,6.507899058942459,325.7983135501203,-0.3599996599999997,1
28214536.0,170039.37443999999,708969.6844200001,56.21752646,-5.7104642834,62.42,0.23385166000000002,170037.5,708967.5,4.36999989,3.4116741961047383,329.20998774622507,0.3599996599999997,1
28214537.0,170039.7181,708967.8065,56.217509789999994,-5.710457125,63.849999999999994,0.09599745,170037.5,708967.5,4.36999989,1.9085274123588103,331.1185151585839,0.0,1
28214538.0,170039.65865,708965.8968,56.21749264,-5.710456425,62.45,0.0706416,170037.5,708967.5,4.36999989,1.910073844744702,333.0285890033286,0.0,1
28214539.0,170035.4866666667,708970.6806444445,56.21753351222222,-5.710527702,58.46666666666667,0.39067055555555563,170037.5,708972.5,3.53999996,6.345599910091343,339.3741889134199,-0.82999993,1
28214540.0,170036.42792857141,708972.6019857143,56.21755119285715,-5.710514223857143,57.58571428571429,0.3424384285714286,170037.5,708972.5,3.53999996,2.1388976814564113,341.5130865948763,0.0,1
28214541.0,170041.822025,708968.5826249999,56.217517765,-5.71042394575,55.875,0.183883725,170042.5,708967.5,4.01000023,6.7249611943133285,348.23804778918964,0.47000027000000033,1
28214542.0,170042.9994,708971.9618,56.21754863,-5.710407933,55.7,0.0960568,170042.5,708972.5,3.30999994,3.577399134204607,351.81544692339423,-0.7000002900000002,1
28214543.0,170040.1273,708969.8077666666,56.217527929999996,-5.710452277666666,59.73333333333334,0.19829110000000003,170042.5,708967.5,4.01000023,3.5890958046214507,355.4045427280157,0.7000002900000002,1
28214544.0,170037.84730000002,708970.182525,56.2175301875,-5.7104892875,61.375,0.144917825,170037.5,708972.5,3.53999996,2.309876660695274,357.714419388711,-0.47000027000000033,1
28214545.0,170037.91222,708969.09984,56.217520512,-5.7104873034,61.11999999999999,0.27602992,170037.5,708967.5,4.36999989,1.084335914906187,358.7987553036172,0.82999993,1
28214546.0,170037.9022,708968.9484,56.21751915,-5.710487333,62.6,0.138379,170037.5,708967.5,4.36999989,0.15166406633896065,358.9504193699562,0.0,1
28214547.0,170039.0534,708970.8573,56.21753682,-5.710470467,60.7,0.047321,170037.5,708972.5,3.53999996,2.2284358003377265,361.1788551702939,-0.82999993,1
28214548.0,170035.84725,708967.6789749999,56.217506775,-5.710519296,59.150000000000006,0.2306315,170037.5,708967.5,4.36999989,4.513215836191697,365.6920710064856,0.82999993,1
28214551.0,170060.8825,708960.6674200001,56.21745601600001,-5.7101103966,60.98,0.15692548,170062.5,708962.5,2.8499999,7.684291823862088,396.5179355793781,0.1299998699999998,2
28214552.0,170059.8574,708961.2209,56.217460482499995,-5.7101273704999995,60.85,0.1617585,170057.5,708962.5,2.27999997,1.164620463685201,397.6825560430633,-0.5699999299999998,2
28214553.0,170060.62363333334,708961.5057333334,56.21746340666667,-5.710115289,62.1,0.22736903333333336,170062.5,708962.5,2.8499999,0.8172218592800783,398.4997779023434,0.5699999299999998,2
28214554.0,170059.3269,708961.47285,56.217462485,-5.710136125,64.75,0.09079845,170057.5,708962.5,2.27999997,1.2967736341104108,399.7965515364538,-0.5699999299999998,2
28214555.0,170060.39479999998,708962.508925,56.21747229,-5.7101198415,60.75,0.167614675,170062.5,708962.5,2.8499999,1.4874588547185525,401.2840103911724,0.5699999299999998,2
28214556.0,170058.94016666667,708965.0493999999,56.21749436333334,-5.710145449666666,65.23333333333333,0.15289736666666667,170057.5,708967.5,1.97000003,2.9265796168099185,404.2105900079823,-0.8799998699999998,2
28214557.0,170059.37123333334,708962.4001333333,56.217470819999996,-5.710136216666666,63.333333333333336,0.11654453333333332,170057.5,708962.5,2.27999997,2.6833079848674393,406.89389799284976,0.30999994,2
28214558.0,170059.03853333334,708965.1065666666,56.217494923333334,-5.710143916333333,62.76666666666667,0.12739403333333335,170057.5,708967.5,1.97000003,2.7259870154081955,409.61988500825794,-0.30999994,2
28214559.0,170058.64725,708960.56225,56.217453992500005,-5.71014627075,60.675,0.31655225000000003,170057.5,708962.5,2.27999997,4.559815675628012,414.1797006838859,0.30999994,2
28214560.0,170056.30215,708958.720875,56.21743635,-5.710182406125,61.087500000000006,0.41464076250000004,170057.5,708957.5,2.80999994,2.980788885868142,417.1604895697541,0.52999997,2
28214565.0,170154.3952,709015.538175,56.21799315,-5.708653354,61.125,0.41892675000000007,170152.5,709017.5,2.26999998,8.71404701539651,543.8120378189883,0.20000005000000032,3
28214566.0,170156.69875714285,709015.3770428571,56.21799281857143,-5.70861615,61.87142857142857,0.41017288571428573,170157.5,709017.5,2.20000005,2.3084727064311292,546.1205105254194,-0.06999993000000027,3
28214567.0,170154.82032,709014.19194,56.217981286,-5.7086453466,62.839999999999996,0.1914384,170152.5,709012.5,2.13000011,2.2203726394170347,548.3408831648364,-0.06999993999999976,3
28214568.0,170155.81406666667,709014.927,56.217988356666666,-5.708629994333333,60.56666666666666,0.12085406666666669,170157.5,709012.5,2.36999989,1.2357292265782096,549.5766123914146,0.23999977999999977,3
28214569.0,170153.53428333334,709011.0590166665,56.21795257666667,-5.7086633225000005,63.650000000000006,0.45827766666666664,170152.5,709012.5,2.13000011,4.488577966804652,554.0651903582193,-0.23999977999999977,3
28214570.0,170151.833,709009.563325,56.217938345,-5.7086894,58.8,0.1760212,170152.5,709007.5,1.99000001,2.2646422950626355,556.329832653282,-0.14000010000000018,3
28214571.0,170145.85195714285,709010.2986285714,56.21794204714286,-5.708786273857143,61.9857142857143,0.30555757142857143,170147.5,709012.5,2.06999993,6.024290333992232,562.3541229872742,0.07999991999999989,3
28214572.0,170142.7591,709010.4080333334,56.21794153333334,-5.7088361333333335,61.48888888888889,0.4674506666666666,170142.5,709012.5,3.02999997,3.093870725832564,565.4479937131067,0.9600000400000002,3
28214580.0,170199.77518,708997.87174,56.217856688000005,-5.7079078634,62.8,0.1994356,170197.5,708997.5,2.33999991,2.052509780370674,830.8327937035311,0.0,4
28214581.0,170200.7618,708998.4423333333,56.21786228,-5.707892483333333,60.6,0.14258066666666666,170202.5,708997.5,3.8499999,1.1393791660047476,831.9721728695359,1.5099999899999998,4
28214582.0,170200.47259999998,708998.1843249999,56.2178598275,-5.7078969125,61.425,0.12987074999999998,170202.5,708997.5,3.8499999,0.3874023161827568,832.3595751857187,0.0,4
28214583.0,170199.444,708996.7349400001,56.217846336,-5.707912206799999,62.98,0.3546764,170197.5,708997.5,2.33999991,1.776806402041763,834.1363815877604,-1.5099999899999998,4
28214584.0,170199.79546666666,708999.1171666667,56.21786786333333,-5.707908616666667,65.36666666666666,0.123735,170197.5,708997.5,2.33999991,2.407304313103643,836.543685900864,0.0,4
28214585.0,170200.67489999998,709000.1684333334,56.21787771333334,-5.7078953776666665,63.26666666666667,0.106334,170202.5,709002.5,2.97000003,1.3702240565752848,837.9139099574393,0.63000012,4
28214586.0,170201.81651666664,708999.2514166665,56.21787004333334,-5.707876213833333,64.08333333333333,0.3774466666666667,170202.5,708997.5,3.8499999,1.4638832970218199,839.377793254461,0.8799998699999998,4
28214587.0,170200.59795,708996.5366,56.217845115,-5.707893467,60.4,0.08743785000000001,170202.5,708997.5,3.8499999,2.9749103300755726,842.3527035845366,0.0,4
28214588.0,170200.2968,708998.9146499999,56.21786629,-5.7079003749999995,62.3,0.06571175,170202.5,708997.5,3.8499999,2.3963832743039517,844.7490868588405,0.0,4
28214589.0,170195.65622000003,708992.94105,56.217810492,-5.707969863400001,61.45,0.4846235,170197.5,708992.5,4.17999983,7.562131836836208,852.3112186956768,0.32999993000000005,4
28214594.0,170257.9642,708989.04675,56.217805675,-5.7069639415,63.05,0.1802,170257.5,708987.5,2.72000003,4.855771632040253,995.5950533788374,-0.7400000100000002,5
28214595.0,170259.50391666667,708987.88615,56.21779601333333,-5.706938161166666,59.85,0.19638621666666667,170257.5,708987.5,2.72000003,1.9275765147369264,997.5226298935743,0.0,5
28214596.0,170259.35085,708987.4550999999,56.217792075,-5.706940250000001,61.650000000000006,0.21340372500000002,170257.5,708987.5,2.72000003,0.45726540184325853,997.9798952954176,0.0,5
28214597.0,170255.803275,708990.144425,56.2178144725,-5.706999662249999,63.05,0.199531375,170257.5,708992.5,2.48000002,4.450406825416299,1002.4303021208339,-0.24000001000000015,5
28214598.0,170248.39486666667,708986.5538499999,56.21777870333333,-5.707115753,60.43333333333333,0.5304305,170247.5,708987.5,2.8499999,8.230270820045256,1010.6605729408791,0.36999987999999995,6
28214599.0,170248.39486666667,708986.5538499999,56.21777870333333,-5.707115753,60.43333333333333,0.5304305,170247.5,708987.5,2.8499999,0.0,1010.6605729408791,0.0,6
28214600.0,170248.39486666667,708986.5538499999,56.21777870333333,-5.707115753,60.43333333333333,0.5304305,170247.5,708987.5,2.8499999,0.0,1010.6605729408791,0.0,6
28214601.0,170248.39486666667,708986.5538499999,56.21777870333333,-5.707115753,60.43333333333333,0.5304305,170247.5,708987.5,2.8499999,0.0,1010.6605729408791,0.0,6
28214602.0,170248.39486666667,708986.5538499999,56.21777870333333,-5.707115753,60.43333333333333,0.5304305,170247.5,708987.5,2.8499999,0.0,1010.6605729408791,0.0,6
28214603.0,170248.39486666667,708986.5538499999,56.21777870333333,-5.707115753,60.43333333333333,0.5304305,170247.5,708987.5,2.8499999,0.0,1010.6605729408791,0.0,6
28214604.0,170248.39486666667,708986.5538499999,56.21777870333333,-5.707115753,60.43333333333333,0.5304305,170247.5,708987.5,2.8499999,0.0,1010.6605729408791,0.0,6
28214605.0,170248.39486666667,708986.5538499999,56.21777870333333,-5.707115753,60.43333333333333,0.5304305,170247.5,708987.5,2.8499999,0.0,1010.6605729408791,0.0,6
28214606.0,170248.39486666667,708986.5538499999,56.21777870333333,-5.707115753,60.43333333333333,0.5304305,170247.5,708987.5,2.8499999,0.0,1010.6605729408791,0.0,6
28214607.0,170248.39486666667,708986.5538499999,56.21777870333333,-5.707115753,60.43333333333333,0.5304305,170247.5,708987.5,2.8499999,0.0,1010.6605729408791,0.0,6
28214608.0,170248.39486666667,708986.5538499999,56.21777870333333,-5.707115753,60.43333333333333,0.5304305,170247.5,708987.5,2.8499999,0.0,1010.6605729408791,0.0,6
28214609.0,170248.39486666667,708986.5538499999,56.21777870333333,-5.707115753,60.43333333333333,0.5304305,170247.5,708987.5,2.8499999,0.0,1010.6605729408791,0.0,6
28214610.0,170248.39486666667,708986.5538499999,56.21777870333333,-5.707115753,60.43333333333333,0.5304305,170247.5,708987.5,2.8499999,0.0,1010.6605729408791,0.0,6
28214611.0,170248.39486666667,708986.5538499999,56.21777870333333,-5.707115753,60.43333333333333,0.5304305,170247.5,708987.5,2.8499999,0.0,1010.6605729408791,0.0,6
28214612.0,170248.39486666667,708986.5538499999,56.21777870333333,-5.707115753,60.43333333333333,0.5304305,170247.5,708987.5,2.8499999,0.0,1010.6605729408791,0.0,6
28214613.0,170248.39486666667,708986.5538499999,56.21777870333333,-5.707115753,60.43333333333333,0.5304305,170247.5,708987.5,2.8499999,0.0,1010.6605729408791,0.0,6
28214614.0,170248.39486666667,708986.5538499999,56.21777870333333,-5.707115753,60.43333333333333,0.5304305,170247.5,708987.5,2.8499999,0.0,1010.6605729408791,0.0,6
28214615.0,170248.39486666667,708986.5538499999,56.21777870333333,-5.707115753,60.43333333333333,0.5304305,170247.5,708987.5,2.8499999,0.0,1010.6605729408791,0.0,6
28214616.0,170248.39486666667,708986.5538499999,56.21777870333333,-5.707115753,60.43333333333333,0.5304305,170247.5,708987.5,2.8499999,0.0,1010.6605729408791,0.0,6
28214617.0,170248.39486666667,708986.5538499999,56.21777870333333,-5.707115753,60.43333333333333,0.5304305,170247.5,708987.5,2.8499999,0.0,1010.6605729408791,0.0,6
28214618.0,170248.39486666667,708986.5538499999,56.21777870333333,-5.707115753,60.43333333333333,0.5304305,170247.5,708987.5,2.8499999,0.0,1010.6605729408791,0.0,6
28214619.0,170248.39486666667,708986.5538499999,56.21777870333333,-5.707115753,60.43333333333333,0.5304305,170247.5,708987.5,2.8499999,0.0,1010.6605729408791,0.0,6
28214621.0,170331.2997,709068.1537,56.21855032,-5.7058525,59.8,0.296162,170332.5,709067.5,2.80999994,0.0,1126.953200851448,0.0,7
28214622.0,170331.2997,709068.1537,56.21855032,-5.7058525,59.8,0.296162,170332.5,709067.5,2.80999994,0.0,1126.953200851448,0.0,7
28214623.0,170331.2997,709068.1537,56.21855032,-5.7058525,59.8,0.296162,170332.5,709067.5,2.80999994,0.0,1126.953200851448,0.0,7
28214624.0,170331.2997,709068.1537,56.21855032,-5.7058525,59.8,0.296162,170332.5,709067.5,2.80999994,0.0,1126.953200851448,0.0,7
28214625.0,170331.2997,709068.1537,56.21855032,-5.7058525,59.8,0.296162,170332.5,709067.5,2.80999994,0.0,1126.953200851448,0.0,7
28214626.0,170331.2997,709068.1537,56.21855032,-5.7058525,59.8,0.296162,170332.5,709067.5,2.80999994,0.0,1126.953200851448,0.0,7
28214627.0,170331.2997,709068.1537,56.21855032,-5.7058525,59.8,0.296162,170332.5,709067.5,2.80999994,0.0,1126.953200851448,0.0,7
28214630.0,170358.28590000002,709073.7392666667,56.21861342666666,-5.705423116333333,61.4,0.240752,170357.5,709072.5,2.77999997,6.087561176580974,1158.1855965273992,-1.02999997,8
28214631.0,170358.34628,709074.60302,56.218621199999994,-5.705422893400001,59.81999999999999,0.35704724,170357.5,709072.5,2.77999997,0.8656384877660306,1159.0512350151653,0.0,8
28214632.0,170357.382,709075.0985,56.21862517666667,-5.705438838666667,63.06666666666666,0.30436586666666665,170357.5,709077.5,2.28999996,1.0838201704721395,1160.1350551856374,-0.49000001000000015,8
28214633.0,170359.3029,709078.6416,56.21865787,-5.705411,64.6,0.167759,170357.5,709077.5,2.28999996,4.029199634674959,1164.1642548203124,0.0,8
28214634.0,170359.135475,709078.37515,56.2186554,-5.7054134625,63.05,0.14869359999999998,170357.5,709077.5,2.28999996,0.31460775834435883,1164.4788625786568,0.0,8
28214635.0,170358.24273333335,709078.6065333333,56.21865704333334,-5.705428027666667,64.06666666666666,0.1164061,170357.5,709077.5,2.28999996,0.9219634849418797,1165.4008260635987,0.0,8
28214636.0,170362.034,709082.9713833333,56.21869800666667,-5.705370805666667,63.45000000000001,0.3890308666666667,170362.5,709082.5,2.3599999,5.779832847315383,1171.1806589109142,0.0699999400000002,8
28214637.0,170364.0609,709092.3437833333,56.218783013333336,-5.705346311333334,62.800000000000004,0.32203933333333334,170362.5,709092.5,3.22000003,9.586346930215333,1180.7670058411295,0.86000013,9
28214638.0,170361.88373333332,709099.2890666667,56.21884423,-5.705387361,64.3,0.23239763333333333,170362.5,709097.5,4.53999996,7.276440289435648,1188.0434461305651,1.3199999300000003,9
28214639.0,170362.17735,709099.17955,56.21884339,-5.705382541500001,62.95,0.1023926,170362.5,709097.5,4.53999996,0.3132878429198253,1188.356733973485,0.0,9
28214640.0,170357.1040625,709103.5639249999,56.21888024875,-5.705467972875,60.1625,0.4538662,170357.5,709102.5,3.71000004,6.703344648120871,1195.060078621606,-0.8299999200000001,9
