X,Y,T
170052.5,708812.5,0.0
170047.5,708812.5,0.13999847077448072
170047.5,708807.5,0.14658885881965625
170042.5,708807.5,0.1402787543211808
170042.5,708802.5,0.14658880290045495
170042.5,708797.5,0.14455086737925593
170042.5,708792.5,0.14835850602147693
170042.5,708787.5,0.16071483869107395
170042.5,708782.5,0.1369521202394488
170042.5,708777.5,0.13586090103207993
170042.5,708772.5,0.1428266383826291
170042.5,708767.5,0.14484026503884118
170042.5,708762.5,0.13450908300427855
170042.5,708757.5,0.12846178132162134
170042.5,708752.5,0.13158217087342594
170042.5,708747.5,0.14484026503884095
170042.5,708742.5,0.13943958262124845
170042.5,708737.5,0.1386054838649291
170037.5,708737.5,0.13750103838824845
170037.5,708732.5,0.1386054838649291
170032.5,708732.5,0.13722630484858378
170032.5,708727.5,0.1297528733859057
170032.5,708722.5,0.14600366116616081
170032.5,708717.5,0.14747099985349044
170032.5,708712.5,0.14865547004577984
170027.5,708712.5,0.13667848346405442
170022.5,708712.5,0.14254131841896633
170017.5,708712.5,0.13695217248254643
170017.5,708707.5,0.13750098593577498
170017.5,708702.5,0.1471764020053863
170012.5,708702.5,0.14835844942720922
170012.5,708697.5,0.14688228060314845
170012.5,708692.5,0.14835844942720922
170007.5,708692.5,0.143112638647505
170007.5,708687.5,0.1541046303278506
170007.5,708682.5,0.15441309616788246
170007.5,708677.5,0.15816380557283782
170007.5,708672.5,0.16727376120620985
170012.5,708672.5,0.1730587950774245
170012.5,708667.5,0.16693947668414477
170012.5,708662.5,0.16727376120620985
170017.5,708662.5,0.1783292744498315
170017.5,708657.5,0.1801214859696918
170017.5,708652.5,0.16660598731576926
170022.5,708652.5,0.1801214859696918
170022.5,708647.5,0.1716798164245361
170022.5,708642.5,0.1737524324834121
170022.5,708637.5,0.17340533310276562
170022.5,708632.5,0.13184556435437855
170027.5,708632.5,0.1337044774773659
170027.5,708627.5,0.1294936111646372
170032.5,708627.5,0.13750098593577498
170037.5,708627.5,0.13263908452721562
170037.5,708622.5,0.13750098593577498
170042.5,708622.5,0.15379678069963454
170047.5,708622.5,0.13263898333166324
170047.5,708617.5,0.1297528733859057
170047.5,708612.5,0.1504501116656165
170047.5,708607.5,0.14513023101364197
170047.5,708602.5,0.13001263484384395
170047.5,708597.5,0.15534236922918687
170052.5,708597.5,0.14955010456172957
170052.5,708592.5,0.15943414699297698
170057.5,708592.5,0.12897675788223673
170062.5,708592.5,0.14168849276064854
170067.5,708592.5,0.13640534139328508
170072.5,708592.5,0.13805220932003515
170077.5,708592.5,0.1386054732901698
170082.5,708592.5,0.1399984600934463
170087.5,708592.5,0.1292349261402581
170092.5,708592.5,0.13237411589667047
170097.5,708592.5,0.13079498371996756
170102.5,708592.5,0.13158212067882147
170107.5,708592.5,0.15441314329102696
170112.5,708592.5,0.15410455978436488
170117.5,708592.5,0.12820514776768022
170122.5,708592.5,0.1372263467267345
170127.5,708592.5,0.15135555819499125
170132.5,708592.5,0.1607148386910744
170137.5,708592.5,0.12975291298334568
170142.5,708592.5,0.17726246445248606
170147.5,708592.5,0.17655481464140443
170147.5,708587.5,0.1578478952383353
170147.5,708582.5,0.1747980915554077
170147.5,708577.5,0.1747980915554077
170147.5,708572.5,0.17549856634529348
170152.5,708572.5,0.14984961382365647
170157.5,708572.5,0.13916091207623538
170162.5,708572.5,0.15105313114890606
170167.5,708572.5,0.16963210487414493
170172.5,708572.5,0.16200566952105433
170177.5,708572.5,0.16265500486579398
170182.5,708572.5,0.1642898151162857
170187.5,708572.5,0.16396136870217326
170187.5,708567.5,0.1623300744424263
170187.5,708562.5,0.16200566952105433
170192.5,708562.5,0.1642898151162857
170192.5,708557.5,0.15472222667064983
170192.5,708552.5,0.13558943421931424
170197.5,708552.5,0.17690835319922726
170197.5,708557.5,0.13343721765988903
170202.5,708557.5,0.16727381225411797
170207.5,708557.5,0.16727368463437564
170212.5,708557.5,0.16396149379481706
170217.5,708557.5,0.17271300229109876
170217.5,708562.5,0.14368618301180547
170222.5,708562.5,0.16895485178442904
170222.5,708567.5,0.14925134196922052
170222.5,708572.5,0.1383285330376438
170227.5,708572.5,0.16330694281321456
170232.5,708572.5,0.15975340262194493
170237.5,708572.5,0.14895313077052919
170237.5,708567.5,0.15014950526871118
170237.5,708562.5,0.1504501116656165
170242.5,708562.5,0.16265500486579398
170242.5,708557.5,0.17797295059661167
170247.5,708557.5,0.17375248550845512
170252.5,708557.5,0.17099450529631
170252.5,708552.5,0.16594086658642482
170252.5,708547.5,0.16660597460474236
170252.5,708542.5,0.16103658509808128
170252.5,708537.5,0.17797295059661167
170257.5,708537.5,0.17340525372411975
170262.5,708537.5,0.1380521724561241
170267.5,708537.5,0.1541045891774786
170272.5,708537.5,0.13531854596461912
170277.5,708537.5,0.13531852015465873
170282.5,708537.5,0.13558946008095063
170287.5,708537.5,0.13531853305963892
170292.5,708537.5,0.13558944715013155
170297.5,708537.5,0.13558944715013155
170302.5,708537.5,0.13531853305963892
170307.5,708537.5,0.13558944715013155
170312.5,708537.5,0.13558944715013155
170317.5,708537.5,0.13531854596461912
170322.5,708537.5,0.13558944715013155
170327.5,708537.5,0.13531853305963892
170332.5,708537.5,0.13558944715013155
170337.5,708537.5,0.1345090599142651
170342.5,708537.5,0.13343728128772625
170347.5,708537.5,0.1331706673258175
170352.5,708537.5,0.13237404267644948
170357.5,708537.5,0.13237404267644948
170362.5,708537.5,0.1313192635093472
170367.5,708537.5,0.13079504858260904
170372.5,708537.5,0.13105689394510023
170377.5,708537.5,0.1315821708734255
170382.5,708537.5,0.1315821708734255
170387.5,708537.5,0.13184560459045613
170392.5,708537.5,0.1315821708734255
170397.5,708537.5,0.1297528610117098
170402.5,708537.5,0.13131926100463076
