slope,velocity,2std
-20.5,0.632920225223161,0.6238825336423623
-18.5,0.5813648824879124,0.7818707772467618
-16.5,0.8284228666749786,1.2454273361717965
-14.5,0.7894082567371707,0.8405112284321721
-12.5,1.0105789839841997,1.3538771542986514
-10.5,0.625796295934184,0.9163180975778522
-8.5,0.8347853860495568,1.1338211463011456
-6.5,0.9723336114821719,1.2760015946370773
-4.5,1.1718452271982605,1.4188181117845045
-2.5,1.336972524958459,1.5815643571101108
-0.5,1.436478320456124,1.5177365610089675
1.5,1.3850565667721784,1.529691057358552
3.5,1.2555948269649646,1.9437912272640787
5.5,0.7652359189213502,0.9907711912896043
7.5,0.8057507520503552,1.0952057200795873
9.5,0.9442992516703913,1.240486357711684
11.5,0.7649242437649234,0.7283091370317633
13.5,1.2477383505931061,0.6400884614555988
15.5,0.5817927745849792,0.8418808488447937
17.5,0.9854889553322577,0.35139042317713043
19.5,0.5369574373456165,0.47043446154241086
