slope,velocity,2std
-20.5,0.9672782581801339,0.3851624917414578
-18.5,0.3918568508323337,0.759427741677825
-16.5,0.739105382330944,0.3899184085361093
-14.5,0.7278077326264978,0.8170571104968513
-12.5,0.6770602073794393,0.850711789858132
-10.5,0.5328074715259397,1.061998342796119
-8.5,0.6912649712698259,0.7469213571351948
-6.5,0.839134036459791,0.9764364544768886
-4.5,0.7597717603404791,0.9761874690673721
-2.5,1.2603061931162314,1.4794234913818438
-0.5,1.3833446941903078,1.5146279875161848
1.5,0.9324741828692015,0.9389020142973219
3.5,1.099484544961943,1.7467370035787122
5.5,0.6647534684184575,1.1762336063369503
7.5,0.6804886701527493,1.0463364879851174
9.5,0.6491854158083472,0.8007893443944937
11.5,0.6827846610195571,0.458704525726995
13.5,0.7944249426501615,0.5570074190695189
15.5,0.6814747632329395,0.49858459793437215
17.5,0.6510381655318099,0.802587994388442
19.5,0.07352536856109912,0.0
