slope,velocity,2std
-20.5,0.4654481640843155,0.7387828849186294
-18.5,0.597234322046853,0.6669576727184882
-16.5,0.8560115444688778,0.638152469140067
-14.5,0.7041793777606273,0.9949577292972722
-12.5,0.6795305480710504,0.52537158628956
-10.5,0.9101242194832878,0.9902414227328737
-8.5,0.17966398245428386,0.15464732937538306
-6.5,0.7380780528810904,1.1174698280913584
-4.5,0.8408972134005449,1.054098935027262
-2.5,1.2957283772917771,1.4745885331757997
-0.5,1.3616982069857502,1.5196208987219468
1.5,1.2300587404473693,1.252636455789605
3.5,1.118483925192557,1.8221135134319937
5.5,0.628277675832286,1.1769942066389012
7.5,0.933751530971059,1.387380309426387
9.5,0.6115993107017639,0.6154587652613304
11.5,0.6163685358874479,0.5149982433985582
13.5,0.7814297417928316,0.8724992171677873
15.5,0.9721912380936223,0.7587131833088085
17.5,0.5155365174922237,0.5637609499770433
19.5,0.7733564321416042,0.14329205189274818
