slope,velocity,2std
-20.5,0.8677143801770867,0.4424224562377575
-18.5,1.3979018718537224,1.222117673541443
-16.5,1.1216314760680202,0.9916076709060974
-14.5,1.3641701614645108,1.1218488240214133
-12.5,1.1957074671928474,1.4233659964942447
-10.5,1.3114106763047348,1.4084004776291879
-8.5,1.4347078980764407,1.4567631272099288
-6.5,1.3897662912441466,1.5554312351709665
-4.5,1.511559443850787,1.3061361157404696
-2.5,1.9580308251608978,1.6432270593662621
-0.5,2.101184600953131,1.5163966904627388
1.5,1.846880717979396,1.8160351654264133
3.5,1.5511986189234173,1.6827713581815829
5.5,1.4879775028164395,1.4971805931233715
7.5,1.3180648103279402,1.430626815436299
9.5,1.1243146358633347,1.2464234167353958
11.5,1.3678219666580294,1.2204147975948691
13.5,1.1177617075276167,1.0447003772266894
15.5,0.966457190673262,0.7493699516986229
17.5,0.8775263706117774,0.8354863310220944
19.5,0.7773361541730747,0.44389715075254144
